A,A_over_R,B,B_over_R,R,copy_only_gain,copy_only_percentage_points_on_R,copy_relative_gain_over_A,family,input_profile,population,source_records,split,still_unexpressible,vocabulary_profile
1709055,0.8944213766633138,1718668,0.8994522695800803,1910794,9613,0.5030892916766538,0.00562474583907481,overall,passive,parent_pool,1910794,overall,192126,existing_train_val_minocc100
256205,0.8938838880748029,257681,0.8990335636033773,286620,1476,0.5149675528574419,0.005761011689857731,overall,passive,parent_pool,286620,test,28939,existing_train_val_minocc100
1196280,0.8943781751030798,1202991,0.8993955388750369,1337555,6711,0.5017363771957041,0.005609890661049253,overall,passive,parent_pool,1337555,train,134564,existing_train_val_minocc100
256570,0.8951604743579455,257996,0.9001357202418542,286619,1426,0.49752458839086033,0.005557937404996687,overall,passive,parent_pool,286619,val,28623,existing_train_val_minocc100
189196,0.940221145483911,189645,0.9424524785687663,201225,449,0.22313330848552615,0.0023732002790756677,conflictWith,passive,parent_pool,201225,overall,11580,existing_train_val_minocc100
443199,0.9710566618975525,443220,0.971102673260168,456409,21,0.004601136261554877,4.738277839074547e-05,distinct,passive,parent_pool,456409,overall,13189,existing_train_val_minocc100
137328,0.97847508710429,137616,0.9805271145501571,140349,288,0.20520274458670884,0.0020971688220901784,inverse,passive,parent_pool,140349,overall,2733,existing_train_val_minocc100
109263,0.546315,113430,0.56715,200000,4167,2.0835,0.03813733834875484,itemRequiresStatement,passive,parent_pool,200000,overall,86570,existing_train_val_minocc100
13523,0.9864322707710264,13605,0.9924137427967029,13709,82,0.5981472025676563,0.00606374325223693,oneOf,passive,parent_pool,13709,overall,104,existing_train_val_minocc100
208748,0.8717957284732257,210164,0.8777093791502051,239446,1416,0.5913650676979361,0.006783298522620576,single,passive,parent_pool,239446,overall,29282,existing_train_val_minocc100
58739,0.9846945617917253,58843,0.9864380071078924,59652,104,0.17434453161671026,0.001770544272119035,symmetric,passive,parent_pool,59652,overall,809,existing_train_val_minocc100
190604,0.953010469895301,191343,0.9567054329456706,200002,739,0.36949630503694963,0.0038771484334011877,type,passive,parent_pool,200002,overall,8659,existing_train_val_minocc100
