family,input_profile,populated_slots,population,reason,split,vocabulary_profile
overall,passive,1893,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
overall,passive,209,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
overall,passive,9831,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
overall,passive,1539236,parent_pool,output_constant,overall,existing_train_val_minocc100
overall,passive,190473,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
overall,passive,4368434,parent_pool,role,overall,existing_train_val_minocc100
overall,passive,517,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
overall,passive,62,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
overall,passive,1477,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
overall,passive,230768,parent_pool,output_constant,test,existing_train_val_minocc100
overall,passive,28454,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
overall,passive,655000,parent_pool,role,test,existing_train_val_minocc100
overall,passive,1151,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
overall,passive,115,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
overall,passive,6890,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
overall,passive,1077453,parent_pool,output_constant,train,existing_train_val_minocc100
overall,passive,133582,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
overall,passive,3058110,parent_pool,role,train,existing_train_val_minocc100
overall,passive,225,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
overall,passive,32,parent_pool,local_constraint_parameter,val,existing_train_val_minocc100
overall,passive,1464,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
overall,passive,231015,parent_pool,output_constant,val,existing_train_val_minocc100
overall,passive,28437,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
overall,passive,655324,parent_pool,role,val,existing_train_val_minocc100
conflictWith,passive,71,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
conflictWith,passive,7,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
conflictWith,passive,445,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
conflictWith,passive,29928,parent_pool,output_constant,overall,existing_train_val_minocc100
conflictWith,passive,11513,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
conflictWith,passive,668781,parent_pool,role,overall,existing_train_val_minocc100
distinct,passive,7,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
distinct,passive,21,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
distinct,passive,13006,parent_pool,output_constant,overall,existing_train_val_minocc100
distinct,passive,13182,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
distinct,passive,1421659,parent_pool,role,overall,existing_train_val_minocc100
inverse,passive,31,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
inverse,passive,4,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
inverse,passive,284,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
inverse,passive,126105,parent_pool,output_constant,overall,existing_train_val_minocc100
inverse,passive,2702,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
inverse,passive,304800,parent_pool,role,overall,existing_train_val_minocc100
itemRequiresStatement,passive,987,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
itemRequiresStatement,passive,80,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
itemRequiresStatement,passive,4114,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
itemRequiresStatement,passive,300821,parent_pool,output_constant,overall,existing_train_val_minocc100
itemRequiresStatement,passive,85583,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
itemRequiresStatement,passive,211715,parent_pool,role,overall,existing_train_val_minocc100
oneOf,passive,7,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
oneOf,passive,79,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
oneOf,passive,3,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
oneOf,passive,9937,parent_pool,output_constant,overall,existing_train_val_minocc100
oneOf,passive,97,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
oneOf,passive,61373,parent_pool,role,overall,existing_train_val_minocc100
single,passive,283,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
single,passive,1812,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
single,passive,6814,parent_pool,output_constant,overall,existing_train_val_minocc100
single,passive,29235,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
single,passive,785614,parent_pool,role,overall,existing_train_val_minocc100
symmetric,passive,15,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
symmetric,passive,104,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
symmetric,passive,195,parent_pool,output_constant,overall,existing_train_val_minocc100
symmetric,passive,794,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
