E,R,count,family,fixed_pre_violated_fraction,population,post,pre,row_fraction,split,validator_profile
1189131,1910794,188786,overall,,parent_pool,satisfied,satisfied,0.09879976596116588,overall,checked_out_bounded
1189131,1910794,284,overall,,parent_pool,violated,satisfied,0.00014862931325930478,overall,checked_out_bounded
1189131,1910794,0,overall,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
1189131,1910794,643000,overall,0.5407310044057383,parent_pool,satisfied,violated,0.3365093254427217,overall,checked_out_bounded
1189131,1910794,546131,overall,0.4592689955942617,parent_pool,violated,violated,0.28581364605499077,overall,checked_out_bounded
1189131,1910794,0,overall,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
1189131,1910794,14850,overall,,parent_pool,satisfied,unknown,0.0077716383869742105,overall,checked_out_bounded
1189131,1910794,5042,overall,,parent_pool,violated,unknown,0.0026386936530049814,overall,checked_out_bounded
1189131,1910794,512701,overall,,parent_pool,unknown,unknown,0.26831830118788313,overall,checked_out_bounded
178221,286620,28439,overall,,parent_pool,satisfied,satisfied,0.09922196636661783,test,checked_out_bounded
178221,286620,39,overall,,parent_pool,violated,satisfied,0.00013606866234038099,test,checked_out_bounded
178221,286620,0,overall,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
178221,286620,96373,overall,0.5407499677366865,parent_pool,satisfied,violated,0.33623962040332145,test,checked_out_bounded
178221,286620,81848,overall,0.4592500322633135,parent_pool,violated,violated,0.28556276603167957,test,checked_out_bounded
178221,286620,0,overall,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
178221,286620,2196,overall,,parent_pool,satisfied,unknown,0.007661712371781453,test,checked_out_bounded
178221,286620,773,overall,,parent_pool,violated,unknown,0.0026969506663875515,test,checked_out_bounded
178221,286620,76952,overall,,parent_pool,unknown,unknown,0.26848091549787173,test,checked_out_bounded
832506,1337555,132162,overall,,parent_pool,satisfied,satisfied,0.09880864712105297,train,checked_out_bounded
832506,1337555,206,overall,,parent_pool,violated,satisfied,0.00015401235837031002,train,checked_out_bounded
832506,1337555,0,overall,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
832506,1337555,450157,overall,0.5407252320103398,parent_pool,satisfied,violated,0.3365521417810856,train,checked_out_bounded
832506,1337555,382349,overall,0.45927476798966016,parent_pool,violated,violated,0.28585665636179447,train,checked_out_bounded
832506,1337555,0,overall,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
832506,1337555,10348,overall,,parent_pool,satisfied,unknown,0.007736504293281397,train,checked_out_bounded
832506,1337555,3474,overall,,parent_pool,violated,unknown,0.0025972763736818298,train,checked_out_bounded
832506,1337555,358859,overall,,parent_pool,unknown,unknown,0.2682947617107334,train,checked_out_bounded
178404,286619,28185,overall,,parent_pool,satisfied,satisfied,0.09833611868019915,val,checked_out_bounded
178404,286619,39,overall,,parent_pool,violated,satisfied,0.00013606913707744429,val,checked_out_bounded
178404,286619,0,overall,,parent_pool,unknown,satisfied,0.0,val,checked_out_bounded
178404,286619,96470,overall,0.5407389968834779,parent_pool,satisfied,violated,0.33657922189387307,val,checked_out_bounded
178404,286619,81934,overall,0.45926100311652207,parent_pool,violated,violated,0.2858638122385466,val,checked_out_bounded
178404,286619,0,overall,0.0,parent_pool,unknown,violated,0.0,val,checked_out_bounded
178404,286619,2306,overall,,parent_pool,satisfied,unknown,0.008045523848732987,val,checked_out_bounded
178404,286619,795,overall,,parent_pool,violated,unknown,0.00277371702504021,val,checked_out_bounded
