addition_only,base_preserved,base_removed,deletion_only,distinct_definitions,distinct_semantic_terms_max,distinct_semantic_terms_mean,distinct_semantic_terms_median,distinct_semantic_terms_p95,distinct_semantic_terms_sum,edges_max,edges_mean,edges_median,edges_p95,edges_sum,family,input_profile,loss_from_R,nodes_max,nodes_mean,nodes_median,nodes_p95,nodes_sum,noop,paired,population,pre_triples_max,pre_triples_mean,pre_triples_median,pre_triples_p95,pre_triples_sum,primary_post_satisfied,primary_post_unknown,primary_post_violated,primary_pre_satisfied,primary_pre_unknown,primary_pre_violated,records,retention_from_R,same_subject_property_replacement,split,subset,unknown_feature_nodes_max,unknown_feature_nodes_mean,unknown_feature_nodes_median,unknown_feature_nodes_p95,unknown_feature_nodes_sum,unresolved_operations,validator_profile,vocabulary_profile
951751,1354714,556080,833145,5667,2262,86.6255786861378,41.0,233.0,165523636,4508,140.02212274059895,54.0,428.0,267553432,overall,passive,0,4503,138.39937533821018,53.0,426.0,264452696,0,125898,parent_pool,2253,32.19851224150798,23.0,89.0,61524724,846636,512701,551457,189070,532593,1189131,1910794,1.0,99080,overall,R,2241,10.672380696192263,5.0,39.0,20392721,421733,checked_out_bounded,existing_train_val_minocc100
142874,203417,83203,124940,3364,2147,86.61892052194543,41.0,233.0,24826715,4272,140.08995185262717,54.0,428.0,40152582,overall,passive,0,4268,138.46897285604632,53.0,426.0,39687977,0,18806,parent_pool,1497,32.03911450701277,23.0,88.0,9183051,127008,76952,82660,28478,79921,178221,286620,1.0,14727,test,R,1479,10.622761844951503,5.0,39.0,3044696,63375,checked_out_bounded,existing_train_val_minocc100
666095,947996,389559,583248,5207,2262,86.68351955620517,41.0,233.0,115943975,4508,140.12188807189236,54.0,428.0,187420732,overall,passive,0,4503,138.49868902587184,53.0,426.0,185249614,0,88212,parent_pool,2253,32.247875414468936,23.0,89.0,43133307,592667,358859,386029,132368,372681,832506,1337555,1.0,69483,train,R,2241,10.672548792386108,5.0,39.0,14275121,295046,checked_out_bounded,existing_train_val_minocc100
142782,203301,83318,124957,3416,2156,86.36184621396349,41.0,233.0,24752946,4264,139.48872196190763,54.0,428.0,39980118,overall,passive,0,4258,137.86631381729754,53.0,426.0,39515105,0,18880,parent_pool,1586,32.12754911572506,23.0,88.0,9208366,126961,76890,82768,28224,79991,178404,286619,1.0,14870,val,R,1485,10.721215271841713,5.0,39.0,3072904,63312,checked_out_bounded,existing_train_val_minocc100
0,103112,98113,165535,535,1550,57.86345136041744,39.0,150.0,11643573,3032,79.66178158777488,54.0,202.0,16029942,conflictWith,passive,0,3027,75.99180022363026,51.0,193.0,15291450,0,35690,parent_pool,1513,36.77632500931793,24.0,97.0,7400316,112754,2030,86441,1994,2030,197201,201225,1.0,17233,overall,R,1466,16.180265871536836,8.0,56.0,3255874,17093,checked_out_bounded,existing_train_val_minocc100
0,191905,264504,430193,601,2191,189.30814466848813,233.0,258.0,86401941,4302,345.96326102246013,428.0,452.0,157900746,distinct,passive,0,4301,343.5348382700604,426.0,449.0,156792392,0,26216,parent_pool,550,26.269332988613282,27.0,39.0,11989560,264529,0,191880,47,46,456316,456409,1.0,23458,overall,R,316,2.618631534435123,1.0,11.0,1195167,2306,checked_out_bounded,existing_train_val_minocc100
124833,124833,15516,11223,93,1543,31.97211950209834,24.0,81.0,4487255,3012,43.61859364869005,30.0,116.0,6121826,inverse,passive,0,3006,43.00478093894506,30.0,114.0,6035678,0,4293,parent_pool,1505,20.799820447598485,14.0,57.0,2919234,15619,0,124730,425,0,139924,140349,1.0,3062,overall,R,1485,13.812716870088137,8.0,37.0,1938601,89997,checked_out_bounded,existing_train_val_minocc100
195512,195512,4488,3388,1698,942,27.03975,17.0,72.0,5407950,1818,35.41042,20.0,100.0,7082084,itemRequiresStatement,passive,0,1817,35.813875,21.0,100.0,7162775,0,1100,parent_pool,908,13.85935,8.0,44.0,2771870,54688,145062,250,35266,147490,17244,200000,1.0,966,overall,R,891,8.286635,4.0,31.0,1657327,144036,checked_out_bounded,existing_train_val_minocc100
0,0,13709,3586,73,649,75.78678240571887,69.0,142.0,1038961,1046,106.83682252534831,96.0,204.0,1464626,oneOf,passive,0,1019,106.13655262965935,95.0,204.0,1455026,0,10123,parent_pool,513,29.87803632650084,24.0,72.0,409598,13709,0,0,0,0,13709,13709,1.0,9439,overall,R,229,14.161572689474069,8.0,47.0,194141,579,checked_out_bounded,existing_train_val_minocc100
0,107946,131500,204306,1160,2262,69.46212924834828,42.0,251.0,16632429,4508,107.65531268010324,58.0,374.0,25777634,single,passive,0,4503,105.04434820377037,55.0,365.0,25152449,0,35140,parent_pool,2253,49.363455643443615,25.0,181.0,11819882,152022,0,87424,19973,0,219473,239446,1.0,32633,overall,R,2241,15.496771714708117,10.0,48.0,3710640,1673,checked_out_bounded,existing_train_val_minocc100
