A,A_over_R,B,B_over_R,E,F,F_and_A,F_and_A_over_F,F_and_B,F_and_B_minus_A,F_and_B_over_F,F_fully_applied,F_fully_applied_and_A,F_fully_applied_and_B,F_not_B,R,copy_only_gain,copy_only_percentage_points_on_R,copy_relative_gain_over_A,family,input_profile,population,pre_post_both_checkable,source_records,split,still_unexpressible,validator_profile,vocabulary_profile
1709055,0.8944213766633138,1718668,0.8994522695800803,1189131,643000,625482,0.9727558320373251,628185,2703,0.976959564541213,625732,608323,611022,14815,1910794,9613,0.5030892916766538,0.00562474583907481,overall,passive,parent_pool,1378201,1910794,overall,192126,checked_out_bounded,existing_train_val_minocc100
256205,0.8938838880748029,257681,0.8990335636033773,178221,96373,93800,0.9733016508773205,94193,393,0.9773795565147915,93704,91166,91559,2180,286620,1476,0.5149675528574419,0.005761011689857731,overall,passive,parent_pool,206699,286620,test,28939,checked_out_bounded,existing_train_val_minocc100
1196280,0.8943781751030798,1202991,0.8993955388750369,832506,450157,437819,0.9725917846440242,439713,1894,0.976799205610487,438157,425883,427774,10444,1337555,6711,0.5017363771957041,0.005609890661049253,overall,passive,parent_pool,964874,1337555,train,134564,checked_out_bounded,existing_train_val_minocc100
256570,0.8951604743579455,257996,0.9001357202418542,178404,96470,93863,0.9729760547320411,94279,416,0.9772882761480253,93871,91274,91689,2191,286619,1426,0.49752458839086033,0.005557937404996687,overall,passive,parent_pool,206628,286619,val,28623,checked_out_bounded,existing_train_val_minocc100
189196,0.940221145483911,189645,0.9424524785687663,197201,110847,110823,0.9997834853446642,110826,3,0.9998105496765812,97934,97933,97934,21,201225,449,0.22313330848552615,0.0023732002790756677,conflictWith,passive,parent_pool,199195,201225,overall,11580,checked_out_bounded,existing_train_val_minocc100
443199,0.9710566618975525,443220,0.971102673260168,456316,264436,260916,0.9866886505619508,260922,6,0.9867113403621293,263182,259662,259668,3514,456409,21,0.004601136261554877,4.738277839074547e-05,distinct,passive,parent_pool,456363,456409,overall,13189,checked_out_bounded,existing_train_val_minocc100
137328,0.97847508710429,137616,0.9805271145501571,139924,15194,12324,0.8111096485454785,12607,283,0.8297354218770567,14322,11458,11741,2587,140349,288,0.20520274458670884,0.0020971688220901784,inverse,passive,parent_pool,140349,140349,overall,2733,checked_out_bounded,existing_train_val_minocc100
109263,0.546315,113430,0.56715,17244,16994,13842,0.8145227727433212,14192,350,0.8351182770389549,16988,13836,14186,2802,200000,4167,2.0835,0.03813733834875484,itemRequiresStatement,passive,parent_pool,52510,200000,overall,86570,checked_out_bounded,existing_train_val_minocc100
13523,0.9864322707710264,13605,0.9924137427967029,13709,13709,13523,0.9864322707710264,13605,82,0.9924137427967029,13130,12947,13029,104,13709,82,0.5981472025676563,0.00606374325223693,oneOf,passive,parent_pool,13709,13709,overall,104,checked_out_bounded,existing_train_val_minocc100
208748,0.8717957284732257,210164,0.8777093791502051,219473,132246,131508,0.9944194909486865,132177,669,0.9994782450886983,130880,130213,130880,69,239446,1416,0.5913650676979361,0.006783298522620576,single,passive,parent_pool,239446,239446,overall,29282,checked_out_bounded,existing_train_val_minocc100
58739,0.9846945617917253,58843,0.9864380071078924,59611,59611,58707,0.9848350136719733,58808,101,0.9865293318347285,59545,58644,58745,803,59652,104,0.17434453161671026,0.001770544272119035,symmetric,passive,parent_pool,59652,59652,overall,809,checked_out_bounded,existing_train_val_minocc100
190604,0.953010469895301,191343,0.9567054329456706,4456,1806,1803,0.9983388704318937,1804,1,0.9988925802879292,1718,1717,1718,2,200002,739,0.36949630503694963,0.0038771484334011877,type,passive,parent_pool,29269,200002,overall,8659,checked_out_bounded,existing_train_val_minocc100
166414,0.8320658396708016,167966,0.8398258008709957,24271,24271,18152,0.7478884265172429,19359,1207,0.797618557125788,24188,18069,19276,4912,200001,1552,0.7759961200193999,0.009326138425853595,valueRequiresStatement,passive,parent_pool,116871,200001,overall,32035,checked_out_bounded,existing_train_val_minocc100
192041,0.960200198999005,192836,0.9641751791241043,56926,3886,3884,0.9994853319608852,3885,1,0.9997426659804426,3845,3844,3845,1,200001,795,0.39749801250993744,0.004139740992808828,valueType,passive,parent_pool,70837,200001,overall,7165,checked_out_bounded,existing_train_val_minocc100
28423,0.9416578319639544,28497,0.9441094619666048,29600,16797,16790,0.9995832589152824,16790,0,0.9995832589152824,14804,14804,14804,7,30184,74,0.2451630002650411,0.0026035253140062626,conflictWith,passive,parent_pool,29885,30184,test,1687,checked_out_bounded,existing_train_val_minocc100
66466,0.9708451403698402,66468,0.9708743536560428,68446,39604,39090,0.9870215129784871,39090,0,0.9870215129784871,39393,38879,38879,514,68462,2,0.002921328620256493,3.0090572623597026e-05,distinct,passive,parent_pool,68455,68462,test,1994,checked_out_bounded,existing_train_val_minocc100
20699,0.980577005068928,20738,0.9824245582452982,21043,2242,1849,0.8247100802854594,1888,39,0.8421052631578947,2120,1730,1769,354,21109,39,0.18475531763702685,0.0018841489927049616,inverse,passive,parent_pool,21109,21109,test,371,checked_out_bounded,existing_train_val_minocc100
16222,0.5407513583786127,16856,0.5618853961798727,2570,2533,2051,0.8097118041847612,2095,44,0.8270825108566917,2531,2049,2093,438,29999,634,2.113403780126004,0.039082727160646036,itemRequiresStatement,passive,parent_pool,7815,29999,test,13143,checked_out_bounded,existing_train_val_minocc100
2008,0.9766536964980544,2033,0.9888132295719845,2056,2056,2008,0.9766536964980544,2033,25,0.9888132295719845,1963,1917,1942,23,2056,25,1.215953307392996,0.01245019920318725,oneOf,passive,parent_pool,2056,2056,test,23,checked_out_bounded,existing_train_val_minocc100
