available_F_and_A_V1_train,excess_available_minus_old_sample_train,expected_addition_only_N,expected_addition_only_share,expected_deletion_only_N,expected_deletion_only_share,expected_paired_other_N,expected_paired_other_share,expected_paired_replacement_same_subject_property_N,expected_paired_replacement_same_subject_property_share,family,fraction_of_available_retained,hypothetical_allocation,is_projection_not_sample,maximum_without_oversampling,old_sample_train_count,strategy
106965,36538,0.0,0.0,68976.75104005983,0.8238489225447576,8503.607722152106,0.10156593278175104,6244.6412377880615,0.07458514467349132,conflictWith,0.7827326695648109,83725,True,106965,70427,proportional_sampling
308880,149137,0.0,0.0,234685.87621082622,0.9706908831908831,1496.5943537943538,0.00619010619010619,5589.529435379435,0.02311901061901062,distinct,0.7827376327376327,241772,True,308880,159743,proportional_sampling
87319,38062,62655.92088777929,0.9167191561973912,5203.649881469096,0.07613463278324305,488.4292307516119,0.007146211019365774,0.0,0.0,inverse,0.7827391518455319,68348,True,87319,49257,proportional_sampling
69177,-824,52637.89414111627,0.972129464995591,1438.660045969036,0.026569524552958353,70.44581291469709,0.0013010104514506267,0.0,0.0,itemRequiresStatement,0.7827312546077454,54147,True,69177,70001,proportional_sampling
2123,-2675,0.0,0.0,653.6834667922751,0.39331135186057464,89.24540744229863,0.053697597739048517,919.0711257654262,0.5529910504003768,oneOf,0.7828544512482336,1662,True,2123,4798,proportional_sampling
73699,-10108,0.0,0.0,57085.85729792806,0.9895792344536561,601.1427020719412,0.010420765546343913,0.0,0.0,single,0.7827378933228402,57687,True,73699,83807,proportional_sampling
14428,-6317,10720.835943997781,0.9493346271139451,522.0703493207652,0.04622955364568894,49.31099251455503,0.004366509564735237,0.7827141668976989,6.930967563071805e-05,symmetric,0.7827141668976989,11293,True,14428,20745,proportional_sampling
89740,19740,68559.32835970582,0.9760307555159349,1559.216135502563,0.022197459326944505,124.45550479162024,0.0017717851571205706,0.0,0.0,type,0.7827390238466682,70243,True,89740,70000,proportional_sampling
49599,-20401,38417.54194641021,0.989556241053247,362.40748805419463,0.009334865622290772,43.050565535595474,0.0011088933244621868,0.0,0.0,valueRequiresStatement,0.782737555192645,38823,True,49599,70000,proportional_sampling
52481,-17520,40568.65324593663,0.9875764562413064,456.3376650597359,0.011108782225948438,49.31264648158381,0.0012004344429412549,4.696442522055601,0.00011432708980392904,valueType,0.7827404203426002,41079,True,52481,70001,proportional_sampling
854411,185632,273560.17452494596,0.4090442052231693,370944.50958098174,0.5546593262961034,11515.594938450362,0.01721883453046576,12758.720955621877,0.01907763395026141,overall,0.7827368795579644,668779,True,854411,668779,proportional_sampling
106965,36538,0.0,0.0,68976.75104005983,0.8238489225447576,8503.607722152106,0.10156593278175104,6244.6412377880615,0.07458514467349132,conflictWith,0.7827326695648109,83725,True,106965,70427,preserve_F_and_A_V1_family_distribution
308880,149137,0.0,0.0,234685.87621082622,0.9706908831908831,1496.5943537943538,0.00619010619010619,5589.529435379435,0.02311901061901062,distinct,0.7827376327376327,241772,True,308880,159743,preserve_F_and_A_V1_family_distribution
87319,38062,62655.92088777929,0.9167191561973912,5203.649881469096,0.07613463278324305,488.4292307516119,0.007146211019365774,0.0,0.0,inverse,0.7827391518455319,68348,True,87319,49257,preserve_F_and_A_V1_family_distribution
69177,-824,52637.89414111627,0.972129464995591,1438.660045969036,0.026569524552958353,70.44581291469709,0.0013010104514506267,0.0,0.0,itemRequiresStatement,0.7827312546077454,54147,True,69177,70001,preserve_F_and_A_V1_family_distribution
2123,-2675,0.0,0.0,653.6834667922751,0.39331135186057464,89.24540744229863,0.053697597739048517,919.0711257654262,0.5529910504003768,oneOf,0.7828544512482336,1662,True,2123,4798,preserve_F_and_A_V1_family_distribution
73699,-10108,0.0,0.0,57085.85729792806,0.9895792344536561,601.1427020719412,0.010420765546343913,0.0,0.0,single,0.7827378933228402,57687,True,73699,83807,preserve_F_and_A_V1_family_distribution
14428,-6317,10720.835943997781,0.9493346271139451,522.0703493207652,0.04622955364568894,49.31099251455503,0.004366509564735237,0.7827141668976989,6.930967563071805e-05,symmetric,0.7827141668976989,11293,True,14428,20745,preserve_F_and_A_V1_family_distribution
89740,19740,68559.32835970582,0.9760307555159349,1559.216135502563,0.022197459326944505,124.45550479162024,0.0017717851571205706,0.0,0.0,type,0.7827390238466682,70243,True,89740,70000,preserve_F_and_A_V1_family_distribution
49599,-20401,38417.54194641021,0.989556241053247,362.40748805419463,0.009334865622290772,43.050565535595474,0.0011088933244621868,0.0,0.0,valueRequiresStatement,0.782737555192645,38823,True,49599,70000,preserve_F_and_A_V1_family_distribution
52481,-17520,40568.65324593663,0.9875764562413064,456.3376650597359,0.011108782225948438,49.31264648158381,0.0012004344429412549,4.696442522055601,0.00011432708980392904,valueType,0.7827404203426002,41079,True,52481,70001,preserve_F_and_A_V1_family_distribution
854411,185632,273560.17452494596,0.4090442052231693,370944.50958098174,0.5546593262961034,11515.594938450362,0.01721883453046576,12758.720955621877,0.01907763395026141,overall,0.7827368795579644,668779,True,854411,668779,preserve_F_and_A_V1_family_distribution
106965,36538,0.0,0.0,65172.216715748145,0.8238489225447576,8034.576244565979,0.10156593278175104,5900.207039685879,0.07458514467349132,conflictWith,0.7395596690506241,79107,True,106965,70427,preserve_old_benchmark_family_proportions_where_feasible
308880,149137,0.0,0.0,189454.59312678062,0.9706908831908831,1208.1539756539757,0.00619010619010619,4512.252897565398,0.02311901061901062,distinct,0.6318796943796944,195175,True,308880,159743,preserve_old_benchmark_family_proportions_where_feasible
87319,38062,53444.7268063079,0.9167191561973912,4438.64909126307,0.07613463278324305,416.6241024290246,0.007146211019365774,0.0,0.0,inverse,0.6676668308157445,58300,True,87319,49257,preserve_old_benchmark_family_proportions_where_feasible
