A,A_over_R,F,F_and_A,F_and_A_over_F,F_not_A,R,family,population,source_records,split,vocabulary
94599,0.9402357571661432,76783,76436,0.9954807704830496,347,100612,conflictWith,existing_sample,100612,overall,V0_clean_parent_train_minocc100
221609,0.9710833976021874,227209,220620,0.9710002684752804,6589,228208,distinct,existing_sample,228208,overall,V0_clean_parent_train_minocc100
68855,0.9785960972697944,62558,62554,0.9999360593369353,4,70361,inverse,existing_sample,70361,overall,V0_clean_parent_train_minocc100
55073,0.5507355073550736,83238,49433,0.5938753934501069,33805,99999,itemRequiresStatement,existing_sample,99999,overall,V0_clean_parent_train_minocc100
6790,0.9905178701677607,1564,1552,0.9923273657289002,12,6855,oneOf,existing_sample,6855,overall,V0_clean_parent_train_minocc100
855320,0.8952433784625369,661595,610564,0.9228667084847981,51031,955405,overall,existing_sample,955405,overall,V0_clean_parent_train_minocc100
104488,0.8727479264635868,52766,52755,0.9997915324261836,11,119723,single,existing_sample,119723,overall,V0_clean_parent_train_minocc100
29204,0.9852236691181432,10134,10132,0.9998026445628577,2,29642,symmetric,existing_sample,29642,overall,V0_clean_parent_train_minocc100
95422,0.9541913742587722,64196,64081,0.9982086111284192,115,100003,type,existing_sample,100003,overall,V0_clean_parent_train_minocc100
83205,0.8320333593328133,45381,35278,0.7773737907935039,10103,100002,valueRequiresStatement,existing_sample,100002,overall,V0_clean_parent_train_minocc100
96075,0.96075,37766,37723,0.9988614097336228,43,100000,valueType,existing_sample,100000,overall,V0_clean_parent_train_minocc100
14187,0.9399721725303121,11585,11528,0.9950798446266724,57,15093,conflictWith,existing_sample,15093,test,V0_clean_parent_train_minocc100
33226,0.970612292591727,34075,33069,0.970476889214967,1006,34232,distinct,existing_sample,34232,test,V0_clean_parent_train_minocc100
10381,0.9807274444969296,9389,9387,0.999786984769411,2,10585,inverse,existing_sample,10585,test,V0_clean_parent_train_minocc100
8165,0.5443333333333333,12504,7374,0.5897312859884837,5130,15000,itemRequiresStatement,existing_sample,15000,test,V0_clean_parent_train_minocc100
1014,0.9863813229571985,218,214,0.981651376146789,4,1028,oneOf,existing_sample,1028,test,V0_clean_parent_train_minocc100
128141,0.8941151022914399,99272,91557,0.9222842291884922,7715,143316,overall,existing_sample,143316,test,V0_clean_parent_train_minocc100
15615,0.8695289007684598,7897,7892,0.9993668481701912,5,17958,single,existing_sample,17958,test,V0_clean_parent_train_minocc100
