F_and_A_count,F_and_A_share,F_count,F_share,axis,category,js_divergence_bits,percentage_point_change,relative_retention,vocabulary
152990,0.12530663226651922,153675,0.11614513777568174,family,conflictWith,,0.9161494490837487,0.9955425410769481,V0_clean_parent_train_minocc100
441215,0.3613776439994267,454400,0.34342834296580305,family,distinct,,1.7949301033623632,0.9709837147887324,V0_clean_parent_train_minocc100
124782,0.10220283801216291,124787,0.09431204364804943,family,inverse,,0.7890794364113483,0.9999599317236572,V0_clean_parent_train_minocc100
98630,0.08078301287957901,166379,0.1257466203219792,family,itemRequiresStatement,,-4.496360744240019,0.5928031782857212,V0_clean_parent_train_minocc100
2983,0.002443229518602699,3016,0.00227944516369908,family,oneOf,,0.01637843549036188,0.9890583554376657,V0_clean_parent_train_minocc100
105412,0.08633781763826606,105434,0.07968535191957851,family,single,,0.665246571868755,0.9997913386573591,V0_clean_parent_train_minocc100
20525,0.01681102442819993,20527,0.015513982385693308,family,symmetric,,0.1297042042506623,0.9999025673503191,V0_clean_parent_train_minocc100
128185,0.10499006900505764,128443,0.09707519070324964,family,type,,0.7914878301807995,0.9979913268920845,V0_clean_parent_train_minocc100
70969,0.05812723959293159,91155,0.068893509249665,family,valueRequiresStatement,,-1.0766269656733414,0.778553014096868,V0_clean_parent_train_minocc100
75234,0.061620492659254254,75313,0.056920375866601064,family,valueType,,0.47001167926531906,0.9989510443084195,V0_clean_parent_train_minocc100
1220925,1.0,1323129,1.0,family,__distribution_summary__,0.004589282465045171,0.0,0.9227558310640912,V0_clean_parent_train_minocc100
499388,0.409024305342261,587650,0.44413658834474945,edit_action,addition_only,,-3.5112283002488476,0.8498051561303497,V0_clean_parent_train_minocc100
677259,0.554709748756066,677259,0.5118616552127571,edit_action,deletion_only,,4.284809354330898,1.0,V0_clean_parent_train_minocc100
21080,0.017265597804942974,21128,0.015968208693181087,edit_action,paired_other,,0.12973891117618874,0.9977281332828474,V0_clean_parent_train_minocc100
23198,0.019000348096729937,37092,0.028033547749312427,edit_action,paired_replacement_same_subject_property,,-0.903319965258249,0.6254178798662784,V0_clean_parent_train_minocc100
1220925,1.0,1323129,1.0,edit_action,__distribution_summary__,0.0017902688902571625,0.0,0.9227558310640912,V0_clean_parent_train_minocc100
394641,0.32323115670495733,398222,0.3009698978708803,base_status,base_deleting,,2.2261258834077036,0.9910075284640226,V0_clean_parent_train_minocc100
826284,0.6767688432950427,924907,0.6990301021291196,base_status,base_preserving,,-2.2261258834076925,0.8933698198845939,V0_clean_parent_train_minocc100
1220925,1.0,1323129,1.0,base_status,__distribution_summary__,0.00041632623901263766,0.0,0.9227558310640912,V0_clean_parent_train_minocc100
1197727,0.9809996519032701,1286037,0.9719664522506876,same_sp_status,other,,0.9033199652582535,0.9313316801927161,V0_clean_parent_train_minocc100
23198,0.019000348096729937,37092,0.028033547749312427,same_sp_status,same_sp_replacement,,-0.903319965258249,0.6254178798662784,V0_clean_parent_train_minocc100
1220925,1.0,1323129,1.0,same_sp_status,__distribution_summary__,0.000644704143678761,0.0,0.9227558310640912,V0_clean_parent_train_minocc100
445408,0.3648119253844421,504891,0.38158864328421493,factor_count_bin,1-32,,-1.6776717899772808,0.8821864521253102,V0_clean_parent_train_minocc100
2100,0.0017200073714601634,2220,0.0016778409361445483,factor_count_bin,108,,0.00421664353156151,0.9459459459459459,V0_clean_parent_train_minocc100
54783,0.04487007801462006,58005,0.04383926283831735,factor_count_bin,109-160,,0.10308151763027129,0.9444530643910007,V0_clean_parent_train_minocc100
26348,0.021580359153920183,26924,0.020348733948088206,factor_count_bin,161-267,,0.12316252058319765,0.9786064477789332,V0_clean_parent_train_minocc100
10442,0.008552531891803345,10537,0.00796369817304284,factor_count_bin,268+,,0.058883371876050465,0.9909841510866471,V0_clean_parent_train_minocc100
534095,0.4374511128857219,560546,0.42365181323967654,factor_count_bin,33-64,,1.379929964604537,0.9528120796509117,V0_clean_parent_train_minocc100
