count,family,split,stratum
198652,conflictWith,overall,all_pre_violated_E
456316,distinct,overall,all_pre_violated_E
139956,inverse,overall,all_pre_violated_E
168149,itemRequiresStatement,overall,all_pre_violated_E
3172,oneOf,overall,all_pre_violated_E
1531774,overall,overall,all_pre_violated_E
167114,single,overall,all_pre_violated_E
59611,symmetric,overall,all_pre_violated_E
136439,type,overall,all_pre_violated_E
107449,valueRequiresStatement,overall,all_pre_violated_E
94916,valueType,overall,all_pre_violated_E
29808,conflictWith,test,all_pre_violated_E
68446,distinct,test,all_pre_violated_E
21057,inverse,test,all_pre_violated_E
25246,itemRequiresStatement,test,all_pre_violated_E
473,oneOf,test,all_pre_violated_E
229856,overall,test,all_pre_violated_E
25127,single,test,all_pre_violated_E
8884,symmetric,test,all_pre_violated_E
20525,type,test,all_pre_violated_E
15986,valueRequiresStatement,test,all_pre_violated_E
14304,valueType,test,all_pre_violated_E
139033,conflictWith,train,all_pre_violated_E
319422,distinct,train,all_pre_violated_E
97941,inverse,train,all_pre_violated_E
117644,itemRequiresStatement,train,all_pre_violated_E
2232,oneOf,train,all_pre_violated_E
1071946,overall,train,all_pre_violated_E
116879,single,train,all_pre_violated_E
41745,symmetric,train,all_pre_violated_E
95529,type,train,all_pre_violated_E
75188,valueRequiresStatement,train,all_pre_violated_E
66333,valueType,train,all_pre_violated_E
29811,conflictWith,val,all_pre_violated_E
68448,distinct,val,all_pre_violated_E
20958,inverse,val,all_pre_violated_E
25259,itemRequiresStatement,val,all_pre_violated_E
467,oneOf,val,all_pre_violated_E
229972,overall,val,all_pre_violated_E
25108,single,val,all_pre_violated_E
8982,symmetric,val,all_pre_violated_E
20385,type,val,all_pre_violated_E
16275,valueRequiresStatement,val,all_pre_violated_E
14279,valueType,val,all_pre_violated_E
152970,conflictWith,overall,core_F_and_A_V1
441214,distinct,overall,core_F_and_A_V1
124782,inverse,overall,core_F_and_A_V1
98502,itemRequiresStatement,overall,core_F_and_A_V1
2979,oneOf,overall,core_F_and_A_V1
1220706,overall,overall,core_F_and_A_V1
105410,single,overall,core_F_and_A_V1
20525,symmetric,overall,core_F_and_A_V1
128153,type,overall,core_F_and_A_V1
70949,valueRequiresStatement,overall,core_F_and_A_V1
75222,valueType,overall,core_F_and_A_V1
23115,conflictWith,test,core_F_and_A_V1
66166,distinct,test,core_F_and_A_V1
18774,inverse,test,core_F_and_A_V1
14640,itemRequiresStatement,test,core_F_and_A_V1
426,oneOf,test,core_F_and_A_V1
183181,overall,test,core_F_and_A_V1
15795,single,test,core_F_and_A_V1
3019,symmetric,test,core_F_and_A_V1
19212,type,test,core_F_and_A_V1
10614,valueRequiresStatement,test,core_F_and_A_V1
11420,valueType,test,core_F_and_A_V1
106965,conflictWith,train,core_F_and_A_V1
308880,distinct,train,core_F_and_A_V1
87319,inverse,train,core_F_and_A_V1
69177,itemRequiresStatement,train,core_F_and_A_V1
2123,oneOf,train,core_F_and_A_V1
854411,overall,train,core_F_and_A_V1
73699,single,train,core_F_and_A_V1
14428,symmetric,train,core_F_and_A_V1
89740,type,train,core_F_and_A_V1
49599,valueRequiresStatement,train,core_F_and_A_V1
52481,valueType,train,core_F_and_A_V1
22890,conflictWith,val,core_F_and_A_V1
66168,distinct,val,core_F_and_A_V1
18689,inverse,val,core_F_and_A_V1
14685,itemRequiresStatement,val,core_F_and_A_V1
430,oneOf,val,core_F_and_A_V1
183114,overall,val,core_F_and_A_V1
15916,single,val,core_F_and_A_V1
3078,symmetric,val,core_F_and_A_V1
19201,type,val,core_F_and_A_V1
10736,valueRequiresStatement,val,core_F_and_A_V1
11321,valueType,val,core_F_and_A_V1
114478,inverse,overall,verified_addition_only
163606,itemRequiresStatement,overall,verified_addition_only
587650,overall,overall,verified_addition_only
19462,symmetric,overall,verified_addition_only
125349,type,overall,verified_addition_only
90401,valueRequiresStatement,overall,verified_addition_only
74354,valueType,overall,verified_addition_only
17225,inverse,test,verified_addition_only
24576,itemRequiresStatement,test,verified_addition_only
88238,overall,test,verified_addition_only
2848,symmetric,test,verified_addition_only
18818,type,test,verified_addition_only
13471,valueRequiresStatement,test,verified_addition_only
11300,valueType,test,verified_addition_only
80047,inverse,train,verified_addition_only
114453,itemRequiresStatement,train,verified_addition_only
411130,overall,train,verified_addition_only
13697,symmetric,train,verified_addition_only
87762,type,train,verified_addition_only
63290,valueRequiresStatement,train,verified_addition_only
51881,valueType,train,verified_addition_only
17206,inverse,val,verified_addition_only
24577,itemRequiresStatement,val,verified_addition_only
88282,overall,val,verified_addition_only
2917,symmetric,val,verified_addition_only
18769,type,val,verified_addition_only
13640,valueRequiresStatement,val,verified_addition_only
11173,valueType,val,verified_addition_only
88253,conflictWith,overall,verified_base_preserving
190824,distinct,overall,verified_base_preserving
114478,inverse,overall,verified_base_preserving
163606,itemRequiresStatement,overall,verified_base_preserving
924907,overall,overall,verified_base_preserving
58180,single,overall,verified_base_preserving
19462,symmetric,overall,verified_base_preserving
125349,type,overall,verified_base_preserving
90401,valueRequiresStatement,overall,verified_base_preserving
