count,denominator,encoder_known,family,level,present_in_pre_edit_factorized_input,reason,share,slot,term_kind
693,705,,conflictWith,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.9829787234042553,,
12,705,,conflictWith,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,0.01702127659574468,,
605,13186,,distinct,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.04588199605642348,,
1,13186,,distinct,row_primary_mutually_exclusive,,fixed_encoder_term_not_in_v1_output_mask,7.583801001061732e-05,,
12139,13186,,distinct,row_primary_mutually_exclusive,,literal_target_not_representable,0.9205976035188836,,
440,13186,,distinct,row_primary_mutually_exclusive,,outside_fixed_input_output_vocabulary_and_roles,0.03336872440467162,,
1,13186,,distinct,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,7.583801001061732e-05,,
5,5,,inverse,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,1.0,,
37386,67877,,itemRequiresStatement,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.5507904002828646,,
30485,67877,,itemRequiresStatement,row_primary_mutually_exclusive,,literal_target_not_representable,0.4491212045317265,,
6,67877,,itemRequiresStatement,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,8.839518540890139e-05,,
33,37,,oneOf,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.8918918918918919,,
4,37,,oneOf,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,0.10810810810810811,,
43200,102423,,overall,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.42178026419847103,,
1,102423,,overall,row_primary_mutually_exclusive,,fixed_encoder_term_not_in_v1_output_mask,9.763432041631274e-06,,
58722,102423,,overall,row_primary_mutually_exclusive,,literal_target_not_representable,0.5733282563486717,,
440,102423,,overall,row_primary_mutually_exclusive,,outside_fixed_input_output_vocabulary_and_roles,0.004295910098317761,,
60,102423,,overall,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,0.0005858059224978765,,
24,24,,single,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,1.0,,
2,2,,symmetric,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,1.0,,
286,290,,type,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.9862068965517241,,
4,290,,type,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,0.013793103448275862,,
4107,20206,,valueRequiresStatement,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.2032564584776799,,
16098,20206,,valueRequiresStatement,row_primary_mutually_exclusive,,literal_target_not_representable,0.7966940512718994,,
1,20206,,valueRequiresStatement,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,4.949025042066713e-05,,
90,91,,valueType,row_primary_mutually_exclusive,,entity_item_target_not_in_entity_output_vocabulary,0.989010989010989,,
1,91,,valueType,row_primary_mutually_exclusive,,predicate_target_not_in_predicate_output_vocabulary,0.01098901098901099,,
511,705,False,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
161,705,False,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
