N,addition_only_N,addition_only_share,base_deleted_operation_N,base_deleted_operation_share,base_deleting_N,base_deleting_share,base_preserving_N,base_preserving_share,base_reinserted_N,base_reinserted_share,changed_property_N,changed_property_share,changed_subject_N,changed_subject_share,deletion_only_N,deletion_only_share,family,paired_N,paired_other_N,paired_other_share,paired_replacement_same_subject_property_N,paired_replacement_same_subject_property_share,paired_share,population,retention_addition_only,retention_base_deleted_operation,retention_base_deleting,retention_base_preserving,retention_base_reinserted,retention_changed_property,retention_changed_subject,retention_deletion_only,retention_paired,retention_same_sp_replacement,same_sp_replacement_N,same_sp_replacement_share
153675,0,0.0,65422,0.42571660972832276,65422,0.42571660972832276,88253,0.5742833902716772,0,0.0,15606,0.10155197657393851,0,0.0,126107,0.8206084268748983,conflictWith,27568,15606,0.10155197657393851,11962,0.07783959655116317,0.17939157312510168,F,,,,,,,,,,,11962,0.07783959655116317
454400,0,0.0,263576,0.5800528169014084,263576,0.5800528169014084,190824,0.4199471830985915,0,0.0,2744,0.0060387323943661975,0,0.0,428221,0.9423877640845071,distinct,26179,2744,0.0060387323943661975,23435,0.05157350352112676,0.05761223591549296,F,,,,,,,,,,,23435,0.05157350352112676
124787,114478,0.9173872278362329,10309,0.08261277216376706,10309,0.08261277216376706,114478,0.9173872278362329,0,0.0,880,0.007052016636348337,0,0.0,9429,0.07556075552741873,inverse,880,880,0.007052016636348337,0,0.0,0.007052016636348337,F,,,,,,,,,,,0,0.0
166379,163606,0.9833332331604349,2773,0.01666676683956509,2773,0.01666676683956509,163606,0.9833332331604349,0,0.0,118,0.000709224120832557,0,0.0,2655,0.015957542718732533,itemRequiresStatement,118,118,0.000709224120832557,0,0.0,0.000709224120832557,F,,,,,,,,,,,0,0.0
3016,0,0.0,3016,1.0,3016,1.0,0,0.0,0,0.0,157,0.05205570291777188,0,0.0,1179,0.39091511936339524,oneOf,1837,157,0.05205570291777188,1680,0.5570291777188329,0.6090848806366048,F,,,,,,,,,,,1680,0.5570291777188329
1323129,587650,0.44413658834474945,398222,0.3009698978708803,398222,0.3009698978708803,924907,0.6990301021291196,0,0.0,21128,0.015968208693181087,0,0.0,677259,0.5118616552127571,overall,58220,21128,0.015968208693181087,37092,0.028033547749312427,0.04400175644249351,F,,,,,,,,,,,37092,0.028033547749312427
105434,0,0.0,47254,0.44818559477967257,47254,0.44818559477967257,58180,0.5518144052203274,0,0.0,1117,0.0105943054422672,0,0.0,104317,0.9894056945577328,single,1117,1117,0.0105943054422672,0,0.0,0.0105943054422672,F,,,,,,,,,,,0,0.0
20527,19462,0.9481171140449165,1065,0.05188288595508355,1065,0.05188288595508355,19462,0.9481171140449165,0,0.0,97,0.004725483509524042,0,0.0,967,0.04710868612071905,symmetric,98,97,0.004725483509524042,1,4.8716324840454034e-05,0.004774199834364496,F,,,,,,,,,,,1,4.8716324840454034e-05
128443,125349,0.9759114938143768,3094,0.024088506185623193,3094,0.024088506185623193,125349,0.9759114938143768,0,0.0,231,0.0017984631315058042,0,0.0,2863,0.02229004305411739,type,231,231,0.0017984631315058042,0,0.0,0.0017984631315058042,F,,,,,,,,,,,0,0.0
91155,90401,0.9917283747463113,754,0.008271625253688773,754,0.008271625253688773,90401,0.9917283747463113,0,0.0,74,0.0008118040699906752,0,0.0,680,0.007459821183698097,valueRequiresStatement,74,74,0.0008118040699906752,0,0.0,0.0008118040699906752,F,,,,,,,,,,,0,0.0
75313,74354,0.9872664745794218,959,0.01273352542057812,959,0.01273352542057812,74354,0.9872664745794218,0,0.0,104,0.0013809036952451767,0,0.0,841,0.011166730843280709,valueType,118,104,0.0013809036952451767,14,0.00018589088205223534,0.0015667945772974122,F,,,,,,,,,,,14,0.00018589088205223534
152990,0,0.0,65415,0.4275769658147591,65415,0.4275769658147591,87575,0.5724230341852409,0,0.0,15598,0.10195437610301326,0,0.0,126107,0.8242826328518204,conflictWith,26883,15598,0.10195437610301326,11285,0.07376299104516636,0.17571736714817962,F_and_A_V0,,0.9998930023539482,0.9998930023539482,0.9923175416133163,,0.9994873766500064,,1.0,0.975152350551364,0.9434041130245778,11285,0.07376299104516636
441215,0,0.0,260066,0.5894314563194815,260066,0.5894314563194815,181149,0.4105685436805186,0,0.0,2744,0.006219190190723344,0,0.0,428221,0.9705495053432001,distinct,12994,2744,0.006219190190723344,10250,0.02323130446607663,0.029450494656799973,F_and_A_V0,,0.9866831577988892,0.9866831577988892,0.9492988303358069,,1.0,,1.0,0.49635203789296767,0.4373799871986345,10250,0.02323130446607663
124782,114478,0.917423987434085,10304,0.08257601256591496,10304,0.08257601256591496,114478,0.917423987434085,0,0.0,875,0.007012229327947941,0,0.0,9429,0.07556378323796702,inverse,875,875,0.007012229327947941,0,0.0,0.007012229327947941,F_and_A_V0,1.0,0.9995149869046465,0.9995149869046465,1.0,,0.9943181818181818,,1.0,0.9943181818181818,,0,0.0
98630,95859,0.9719050998681943,2771,0.02809490013180574,2771,0.02809490013180574,95859,0.9719050998681943,0,0.0,116,0.0011761127446010343,0,0.0,2655,0.026918787387204705,itemRequiresStatement,116,116,0.0011761127446010343,0,0.0,0.0011761127446010343,F_and_A_V0,0.5859137195457379,0.999278759466282,0.999278759466282,0.5859137195457379,,0.9830508474576272,,1.0,0.9830508474576272,,0,0.0
2983,0,0.0,2983,1.0,2983,1.0,0,0.0,0,0.0,154,0.051625879986590684,0,0.0,1179,0.39523969158565203,oneOf,1804,154,0.051625879986590684,1650,0.5531344284277573,0.604760308414348,F_and_A_V0,,0.9890583554376657,0.9890583554376657,,,0.9808917197452229,,1.0,0.9820359281437125,0.9821428571428571,1650,0.5531344284277573
1220925,499388,0.409024305342261,394641,0.32323115670495733,394641,0.32323115670495733,826284,0.6767688432950427,0,0.0,21080,0.017265597804942974,0,0.0,677259,0.554709748756066,overall,44278,21080,0.017265597804942974,23198,0.019000348096729937,0.03626594590167291,F_and_A_V0,0.8498051561303497,0.9910075284640226,0.9910075284640226,0.8933698198845939,,0.9977281332828474,,1.0,0.7605290278254895,0.6254178798662784,23198,0.019000348096729937
105412,0,0.0,47240,0.44814632110196184,47240,0.44814632110196184,58172,0.5518536788980382,0,0.0,1095,0.01038781163434903,0,0.0,104317,0.989612188365651,single,1095,1095,0.01038781163434903,0,0.0,0.01038781163434903,F_and_A_V0,,0.9997037287848648,0.9997037287848648,0.9998624957029907,,0.9803043867502238,,1.0,0.9803043867502238,,0,0.0
20525,19462,0.9482095006090134,1063,0.0517904993909866,1063,0.0517904993909866,19462,0.9482095006090134,0,0.0,95,0.004628501827040195,0,0.0,967,0.04711327649208283,symmetric,96,95,0.004628501827040195,1,4.8721071863581e-05,0.004677222898903776,F_and_A_V0,1.0,0.9981220657276996,0.9981220657276996,1.0,,0.979381443298969,,1.0,0.9795918367346939,1.0,1,4.8721071863581e-05
128185,125095,0.9758942153918165,3090,0.024105784608183484,3090,0.024105784608183484,125095,0.9758942153918165,0,0.0,227,0.0017708780278503724,0,0.0,2863,0.022334906580333113,type,227,227,0.0017708780278503724,0,0.0,0.0017708780278503724,F_and_A_V0,0.9979736575481256,0.9987071751777634,0.9987071751777634,0.9979736575481256,,0.9826839826839827,,1.0,0.9826839826839827,,0,0.0
70969,70216,0.9893897335456326,753,0.0106102664543674,753,0.0106102664543674,70216,0.9893897335456326,0,0.0,73,0.0010286181290422578,0,0.0,680,0.009581648325325142,valueRequiresStatement,73,73,0.0010286181290422578,0,0.0,0.0010286181290422578,F_and_A_V0,0.7767170717138084,0.9986737400530504,0.9986737400530504,0.7767170717138084,,0.9864864864864865,,1.0,0.9864864864864865,,0,0.0
75234,74278,0.9872929792381104,956,0.012707020761889572,956,0.012707020761889572,74278,0.9872929792381104,0,0.0,103,0.0013690618603291065,0,0.0,841,0.011178456548900763,valueType,115,103,0.0013690618603291065,12,0.00015950235265970174,0.0015285642129888083,F_and_A_V0,0.9989778626570192,0.9968717413972888,0.9968717413972888,0.9989778626570192,,0.9903846153846154,,1.0,0.9745762711864406,0.8571428571428571,12,0.00015950235265970174
152970,0,0.0,65412,0.4276132575014709,65412,0.4276132575014709,87558,0.5723867424985292,0,0.0,15594,0.10194155716807217,0,0.0,126107,0.8243904033470615,conflictWith,26863,15594,0.10194155716807217,11269,0.07366803948486632,0.1756095966529385,F_and_A_V1,,0.999847146219926,0.999847146219926,0.9921249136006708,,0.9992310649750096,,1.0,0.9744268717353454,0.9420665440561778,11269,0.07366803948486632
441214,0,0.0,260066,0.5894327922504725,260066,0.5894327922504725,181148,0.41056720774952743,0,0.0,2743,0.006216937812490084,0,0.0,428221,0.9705517050682888,distinct,12993,2743,0.006216937812490084,10250,0.023231357119221058,0.029448294931711142,F_and_A_V1,,0.9866831577988892,0.9866831577988892,0.9492935899048338,,0.9996355685131195,,1.0,0.49631383933687306,0.4373799871986345,10250,0.023231357119221058
124782,114478,0.917423987434085,10304,0.08257601256591496,10304,0.08257601256591496,114478,0.917423987434085,0,0.0,875,0.007012229327947941,0,0.0,9429,0.07556378323796702,inverse,875,875,0.007012229327947941,0,0.0,0.007012229327947941,F_and_A_V1,1.0,0.9995149869046465,0.9995149869046465,1.0,,0.9943181818181818,,1.0,0.9943181818181818,,0,0.0
98502,95732,0.9718787435788105,2770,0.028121256421189417,2770,0.028121256421189417,95732,0.9718787435788105,0,0.0,115,0.0011674889849952286,0,0.0,2655,0.02695376743619419,itemRequiresStatement,115,115,0.0011674889849952286,0,0.0,0.0011674889849952286,F_and_A_V1,0.5851374643961713,0.998918139199423,0.998918139199423,0.5851374643961713,,0.9745762711864406,,1.0,0.9745762711864406,,0,0.0
2979,0,0.0,2979,1.0,2979,1.0,0,0.0,0,0.0,153,0.0513595166163142,0,0.0,1179,0.3957703927492447,oneOf,1800,153,0.0513595166163142,1647,0.552870090634441,0.6042296072507553,F_and_A_V1,,0.9877320954907162,0.9877320954907162,,,0.9745222929936306,,1.0,0.979858464888405,0.9803571428571428,1647,0.552870090634441
1220706,499197,0.4089412192616404,394632,0.3232817730067682,394632,0.3232817730067682,826074,0.6767182269932318,0,0.0,21071,0.017261322546133138,0,0.0,677259,0.5548092661132165,overall,44250,21071,0.017261322546133138,23179,0.018988192079010015,0.036249514625143156,F_and_A_V1,0.8494801327320685,0.9909849280049822,0.9909849280049822,0.8931427700298517,,0.9973021582733813,,1.0,0.7600480934386808,0.6249056400301952,23179,0.018988192079010015
105410,0,0.0,47239,0.44814533725452993,47239,0.44814533725452993,58171,0.55185466274547,0,0.0,1093,0.010369035195901717,0,0.0,104317,0.9896309648040983,single,1093,1093,0.010369035195901717,0,0.0,0.010369035195901717,F_and_A_V1,,0.9996825665552123,0.9996825665552123,0.9998453076658645,,0.9785138764547896,,1.0,0.9785138764547896,,0,0.0
20525,19462,0.9482095006090134,1063,0.0517904993909866,1063,0.0517904993909866,19462,0.9482095006090134,0,0.0,95,0.004628501827040195,0,0.0,967,0.04711327649208283,symmetric,96,95,0.004628501827040195,1,4.8721071863581e-05,0.004677222898903776,F_and_A_V1,1.0,0.9981220657276996,0.9981220657276996,1.0,,0.979381443298969,,1.0,0.9795918367346939,1.0,1,4.8721071863581e-05
128153,125063,0.9758881961405508,3090,0.024111803859449252,3090,0.024111803859449252,125063,0.9758881961405508,0,0.0,227,0.0017713202188009644,0,0.0,2863,0.02234048364064829,type,227,227,0.0017713202188009644,0,0.0,0.0017713202188009644,F_and_A_V1,0.9977183703100942,0.9987071751777634,0.9987071751777634,0.9977183703100942,,0.9826839826839827,,1.0,0.9826839826839827,,0,0.0
70949,70196,0.9893867425897476,753,0.010613257410252435,753,0.010613257410252435,70196,0.9893867425897476,0,0.0,73,0.0010289080889089345,0,0.0,680,0.009584349321343501,valueRequiresStatement,73,73,0.0010289080889089345,0,0.0,0.0010289080889089345,F_and_A_V1,0.7764958352230616,0.9986737400530504,0.9986737400530504,0.7764958352230616,,0.9864864864864865,,1.0,0.9864864864864865,,0,0.0
75222,74266,0.9872909521150727,956,0.012709047884927282,956,0.012709047884927282,74266,0.9872909521150727,0,0.0,103,0.0013692802637526255,0,0.0,841,0.011180239823455904,valueType,115,103,0.0013692802637526255,12,0.00015952779771875248,0.001528808061471378,F_and_A_V1,0.9988164725502326,0.9968717413972888,0.9968717413972888,0.9988164725502326,,0.9903846153846154,,1.0,0.9745762711864406,0.8571428571428571,12,0.00015952779771875248
201225,0,0.0,98113,0.48757858119020997,98113,0.48757858119020997,103112,0.5124214188097901,0,0.0,18457,0.09172319542800347,0,0.0,165535,0.8226363523419058,conflictWith,35690,18457,0.09172319542800347,17233,0.08564045223009069,0.17736364765809418,parent_R,,,,,,,,,,,17233,0.08564045223009069
456409,0,0.0,264504,0.5795328312982435,264504,0.5795328312982435,191905,0.42046716870175654,0,0.0,2758,0.0060428256235087385,0,0.0,430193,0.9425602913176558,distinct,26216,2758,0.0060428256235087385,23458,0.051396883058835385,0.057439708682344125,parent_R,,,,,,,,,,,23458,0.051396883058835385
140349,124833,0.8894470213539106,15516,0.11055297864608939,15516,0.11055297864608939,124833,0.8894470213539106,0,0.0,1231,0.008770992312022174,0,0.0,11223,0.0799649445311331,inverse,4293,1231,0.008770992312022174,3062,0.021817041802934114,0.030588034114956288,parent_R,,,,,,,,,,,3062,0.021817041802934114
200000,195512,0.97756,4488,0.02244,4488,0.02244,195512,0.97756,0,0.0,134,0.00067,0,0.0,3388,0.01694,itemRequiresStatement,1100,134,0.00067,966,0.00483,0.0055,parent_R,,,,,,,,,,,966,0.00483
13709,0,0.0,13709,1.0,13709,1.0,0,0.0,0,0.0,684,0.04989423006783865,0,0.0,3586,0.2615799839521482,oneOf,10123,684,0.04989423006783865,9439,0.6885257859800131,0.7384200160478518,parent_R,,,,,,,,,,,9439,0.6885257859800131
1910794,951751,0.49809189268963583,556080,0.2910203821029373,556080,0.2910203821029373,1354714,0.7089796178970627,0,0.0,26818,0.014035003249957871,0,0.0,833145,0.43602031406839253,overall,125898,26818,0.014035003249957871,99080,0.051852789992013794,0.06588779324197166,parent_R,,,,,,,,,,,99080,0.051852789992013794
239446,0,0.0,131500,0.5491843672477302,131500,0.5491843672477302,107946,0.4508156327522698,0,0.0,2507,0.01047000158699665,0,0.0,204306,0.8532445728890856,single,35140,2507,0.01047000158699665,32633,0.1362854255239177,0.14675542711091435,parent_R,,,,,,,,,,,32633,0.1362854255239177
59652,56913,0.9540836853751761,2739,0.04591631462482398,2739,0.04591631462482398,56913,0.9540836853751761,0,0.0,140,0.0023469456179172534,0,0.0,1630,0.027325152551465164,symmetric,1109,140,0.0023469456179172534,969,0.016244216455441562,0.018591162073358813,parent_R,,,,,,,,,,,969,0.016244216455441562
200002,188739,0.9436855631443686,11263,0.05631443685563144,11263,0.05631443685563144,188739,0.9436855631443686,0,0.0,527,0.0026349736502634972,0,0.0,7017,0.035084649153508465,type,4246,527,0.0026349736502634972,3719,0.01859481405185948,0.021229787702122978,parent_R,,,,,,,,,,,3719,0.01859481405185948
