category,count,detail,family,rank,section
F,166379,,itemRequiresStatement,,summary
F_and_A_V1,98502,,itemRequiresStatement,,summary
excluded,67877,,itemRequiresStatement,,summary
addition_only,67874,,itemRequiresStatement,,excluded_action
paired_other,3,,itemRequiresStatement,,excluded_action
add_object,67873,,itemRequiresStatement,,failing_slot
add_predicate,14,,itemRequiresStatement,,failing_slot
P-property,14,,itemRequiresStatement,,term_kind
Q-item,37388,,itemRequiresStatement,,term_kind
literal,30485,,itemRequiresStatement,,term_kind
False,15429,,itemRequiresStatement,,train_seen
True,52458,,itemRequiresStatement,,train_seen
False,64096,,itemRequiresStatement,,in_local_input
True,3791,,itemRequiresStatement,,in_local_input
iri:http://www.wikidata.org/entity/statement/P105-C1EC2D1C-C2B7-4AB2-BAF6-17C291BA9BE0,14326,"{""constrained_property"": ""wd:P105"", ""parameter_objects"": [""wd:P171""], ""parameter_predicates"": [""wd:P2306""]}",itemRequiresStatement,1,top_constraint
iri:http://www.wikidata.org/entity/statement/P442-ABC431F2-61C6-4ACA-9563-341B93A16C76,9508,"{""constrained_property"": ""wd:P442"", ""parameter_objects"": [""wd:Q215664"", ""wd:P131""], ""parameter_predicates"": [""wd:P2303"", ""wd:P2306""]}",itemRequiresStatement,2,top_constraint
iri:http://www.wikidata.org/entity/statement/P105-C7F3642C-3DAE-4FB7-9DA3-235B4CDA122A,3263,"{""constrained_property"": ""wd:P105"", ""parameter_objects"": [""wd:P225""], ""parameter_predicates"": [""wd:P2306""]}",itemRequiresStatement,3,top_constraint
iri:http://www.wikidata.org/entity/statement/P20-F8978927-FA3E-4684-81C6-3BB4EC8A6B80,2762,"{""constrained_property"": ""wd:P20"", ""parameter_objects"": [""wd:P570""], ""parameter_predicates"": [""wd:P2306""]}",itemRequiresStatement,4,top_constraint
iri:http://www.wikidata.org/entity/statement/P1216-7011A1D7-93F7-4FAE-8388-9A7F8AFAA4E2,2683,"{""constrained_property"": ""wd:P1216"", ""parameter_objects"": [""wd:P625""], ""parameter_predicates"": [""wd:P2306""]}",itemRequiresStatement,5,top_constraint
iri:http://www.wikidata.org/entity/statement/P1216-29D60E05-64C5-41FB-936B-BF9E1785FB0C,2092,"{""constrained_property"": ""wd:P1216"", ""parameter_objects"": [""wd:P131""], ""parameter_predicates"": [""wd:P2306""]}",itemRequiresStatement,6,top_constraint
