encoder_class_id,reference_kind,role_name,semantic_term,slot,slot_index,support_F_and_A_V1_train,support_F_train
89201,constant,,iri:https://www.mos.ru/,add_subject,0,0,0
74625,constant,,"lit:""0""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
77355,constant,,"lit:""0100-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
79172,constant,,"lit:""0800-00-00T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
74250,constant,,"lit:""1""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
93263,constant,,"lit:""1.1.1.-""",add_subject,0,0,0
91459,constant,,"lit:""1.3.1.-""",add_subject,0,0,0
76313,constant,,"lit:""10""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75498,constant,,"lit:""100""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
93609,constant,,"lit:""100.000.767""",add_subject,0,0,0
93505,constant,,"lit:""100.010.656""",add_subject,0,0,0
92677,constant,,"lit:""100.011.482""",add_subject,0,0,0
92113,constant,,"lit:""100.058.440""",add_subject,0,0,0
76489,constant,,"lit:""101""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75311,constant,,"lit:""102""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
76782,constant,,"lit:""108""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75438,constant,,"lit:""11""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
77050,constant,,"lit:""110""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
76278,constant,,"lit:""111""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
77214,constant,,"lit:""114""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75018,constant,,"lit:""115""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
79985,constant,,"lit:""116""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75775,constant,,"lit:""117""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
76563,constant,,"lit:""12""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75054,constant,,"lit:""120""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
87500,constant,,"lit:""1200-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
81605,constant,,"lit:""124""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
82964,constant,,"lit:""126""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
74486,constant,,"lit:""127""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
74627,constant,,"lit:""13""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
76457,constant,,"lit:""130""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
78145,constant,,"lit:""131""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
79403,constant,,"lit:""134""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
81297,constant,,"lit:""135""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
76780,constant,,"lit:""138""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75256,constant,,"lit:""139""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
77755,constant,,"lit:""14""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
75260,constant,,"lit:""145""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
77550,constant,,"lit:""15""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
81308,constant,,"lit:""150""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
80689,constant,,"lit:""1500-00-00T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
81868,constant,,"lit:""1500-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
80800,constant,,"lit:""155""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
74692,constant,,"lit:""16""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
84321,constant,,"lit:""1600-00-00T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
76270,constant,,"lit:""162""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
86309,constant,,"lit:""1620-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
84559,constant,,"lit:""1626-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
87903,constant,,"lit:""1650-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
74505,constant,,"lit:""167""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
83455,constant,,"lit:""17""",add_subject,0,0,0
76506,constant,,"lit:""17""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
76289,constant,,"lit:""170""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
84417,constant,,"lit:""1700-00-00T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",add_subject,0,0,0
76492,constant,,"lit:""174""^^<http://www.w3.org/2001/XMLSchema#decimal>",add_subject,0,0,0
