bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
0,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,1.0,add_subject,train,3039
1,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,add_subject,train,0
2-4,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,add_subject,train,0
5-9,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,add_subject,train,0
10-49,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,add_subject,train,0
50-99,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,add_subject,train,0
>=100,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,add_subject,train,0
nonzero_classes,F_and_A_V1_train,0,,min,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,p10,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,p25,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,median,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,p75,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,p90,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,p95,concrete_class_nonzero_support_statistics,,add_subject,train,
nonzero_classes,F_and_A_V1_train,0,,max,concrete_class_nonzero_support_statistics,,add_subject,train,
0,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.10438413361169102,add_predicate,train,50
1,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.3089770354906054,add_predicate,train,148
2-4,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.19832985386221294,add_predicate,train,95
5-9,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.09603340292275574,add_predicate,train,46
10-49,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.14613778705636743,add_predicate,train,70
50-99,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.03549060542797495,add_predicate,train,17
>=100,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.11064718162839249,add_predicate,train,53
nonzero_classes,F_and_A_V1_train,429,,min,concrete_class_nonzero_support_statistics,,add_predicate,train,1
nonzero_classes,F_and_A_V1_train,429,,p10,concrete_class_nonzero_support_statistics,,add_predicate,train,1
