variant,density_bucket,delta_fidelity_f1,delta_pfr,delta_local_satisfaction,delta_delta_local_satisfaction,delta_srr,delta_sir,delta_disruption,delta_base_deletion_rate,delta_deletes_base_action_rate,delta_eppf,delta_vacuous_improvement,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,-0.021739130434782594,0.0,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,0.0,0.0,0.0,167,0.023952096700668335,0.003992015961557627,0.023952096700668335
no_factor_pressure,17_64,-0.46249872041789947,-0.5944450622775801,-0.062071032585078845,-0.030440366948200695,0.0003547886444511877,-0.07320581713781196,-0.16951818849898959,-0.3802475656806908,-0.37888113172882604,-0.06491881672597864,-0.30189004225610877,87088,0.6310858130455017,0.43406668305397034,2.604400157928467
no_factor_pressure,2_4,-0.042632240651760744,-0.2909090909090909,-0.027555207998244957,-0.02631578947368421,0.0014064697609001407,-0.11627906976744186,-0.01671583087512285,-0.058505408062930184,-0.06686332350049165,-0.018181818181818188,-0.01966568338249754,2034,0.1391347050666809,0.07579482346773148,0.45476892590522766
no_factor_pressure,5_16,-0.2532760359776924,-0.5261627906976745,-0.06116704304563081,-0.035147118828457426,-0.002311770741742615,-0.05055620873654698,-0.025962521294718766,-0.1780579216354344,-0.18303236797274275,-0.08430232558139535,-0.08974446337308348,14675,0.4050425887107849,0.24331629276275635,1.459897756576538
no_factor_pressure,65_plus,-0.33493113111941714,-0.5608853850818678,-0.027757462888417517,-0.008169023029119132,-0.0010098305184191077,-0.019116889039856148,-0.07613336043911367,-0.31515551941451514,-0.32262655011181135,-0.12098241358399028,-0.2394541573490547,39352,0.5775309801101685,0.4040879011154175,2.424527406692505
primary_only_pressure,1,-0.021739130434782594,0.0,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,0.0,0.0,0.0,167,0.023952096700668335,0.003992015961557627,0.023952096700668335
primary_only_pressure,17_64,-0.4061137790538307,-0.4695840747330961,-0.05424344536365722,-0.025341601680409245,0.002716486930233108,-0.05603328179742831,-0.15970053279441487,-0.3356260334374426,-0.33253720374793316,-0.03391903914590747,-0.26961234613264745,87088,0.5888985991477966,0.38222450017929077,2.293346881866455
primary_only_pressure,2_4,-0.039564388886369706,-0.09090909090909083,-0.019068536914091827,-0.018971848225214197,0.0,-0.11627906976744186,-0.017207472959685277,-0.048672566371681415,-0.05850540806293019,-0.018181818181818188,-0.014257620452310717,2034,0.12782694399356842,0.06596197932958603,0.39577189087867737
primary_only_pressure,5_16,-0.23092320675511713,-0.3313953488372093,-0.0470359553271803,-0.0255056390398558,-0.0024976374381479533,-0.04160260468481505,-0.02132879045996594,-0.1566609880749574,-0.1579557069846678,-0.045930232558139536,-0.07045996592844975,14675,0.37901192903518677,0.21367405354976654,1.2820442914962769
primary_only_pressure,65_plus,-0.26249202297810437,-0.29642207398423287,-0.01529328065254787,-0.00417010506272306,-0.0004784917046074598,-0.009472889672713732,-0.08332486277698714,-0.20329335230737952,-0.20771498272006506,-0.11570648878107943,-0.13201362065460462,39352,0.50518399477005,0.29748594760894775,1.7849156856536865
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
secondary_only_pressure,17_64,-0.00025690768049413393,-0.0024466192170818912,0.0001637104581857507,0.00012277037540843472,-0.0001550500454279291,0.0002354427876510301,-1.148263825112572e-05,0.0026984199889766858,0.003559617857798958,-0.0015291370106761543,0.001619051993385967,87088,0.026857890188694,0.007488593924790621,0.0449315644800663
secondary_only_pressure,2_4,-0.025220186603245875,-0.19999999999999996,-0.00453357958204148,-0.0030599755201958373,0.0014064697609001407,0.032558139534883734,0.000491642084562427,0.003933136676499513,0.004916420845624381,-0.018181818181818188,-0.0014749262536873156,2034,0.04719763994216919,0.026794493198394775,0.16076695919036865
secondary_only_pressure,5_16,-0.018204793529855712,-0.0046511627906976605,0.006678757963756166,0.005700134311292279,0.00014909352533297188,0.014967893642036718,-0.0016354344122657682,0.030732538330494052,0.028551959114139713,-0.0046511627906976605,0.022214650766609875,14675,0.06705281138420105,0.033401478081941605,0.20040886104106903
secondary_only_pressure,65_plus,-2.3676320834220554e-05,-0.005336567616737398,9.739605357472758e-05,0.00013440234085995012,-0.00023116414524495393,1.6627512832878555e-05,-0.0006861150640373737,0.0,0.00035576336653792007,-0.0009702850212249814,0.001143525106728993,39352,0.020532628521323204,0.005412685684859753,0.03247611224651337
