variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,pfr,pfr_numerator,pfr_denominator,local_satisfaction,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir,sir_numerator,sir_denominator,srr,srr_numerator,srr_denominator,disruption,disruption_numerator,disruption_denominator,base_deletion_rate,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf,eppf_numerator,eppf_denominator,vacuous_improvement,vacuous_improvement_numerator,vacuous_improvement_denominator
normal,1,167,0.8852459016393442,0.8756756756756757,0.8804347826086957,162,21,23,1.0,1,1,1.0,7,7,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.095808383233533,183,167,0.029940119760479042,5,167,0.11976047904191617,20,167,0.0,0,1,0.005988023952095809,1,167
normal,17_64,87088,0.7143328167760229,0.6980978056561014,0.7061220055407682,64995,25992,28108,0.6268349644128114,22546,35968,0.7911430912459264,1620212,2047938,0.02791660078005991,49609,1777043,0.07855154214609375,34619,440717,0.005935182983761894,7539,1270222,1.0447708065405108,90987,87088,0.3884920999448833,33833,87088,0.3992283667095352,34768,87088,0.08157250889679715,2934,35968,0.3086533161859269,26880,87088
normal,2_4,2034,0.6759941089837997,0.6519886363636364,0.6637744034707158,1377,660,735,0.8727272727272727,48,55,0.8886337543053962,1548,1742,0.046511627906976744,76,1634,0.13023255813953488,28,215,0.0,0,711,1.0014749262536873,2037,2034,0.10029498525073746,204,2034,0.11258603736479843,229,2034,0.4727272727272727,26,55,0.024090462143559487,49,2034
normal,5_16,14675,0.7514596602972399,0.7251424547026059,0.7380665341631097,11326,3746,4293,0.6755813953488372,1162,1720,0.6446126638348512,39001,60503,0.04221753734009862,2363,55972,0.060730758795333274,1343,22114,0.005248464544946957,141,26865,1.027052810902896,15072,14675,0.21212947189097103,3113,14675,0.21989778534923338,3227,14675,0.1622093023255814,279,1720,0.10466780238500852,1536,14675
normal,65_plus,39352,0.6076650531463645,0.5826455178353549,0.5948923385077616,24354,15724,17445,0.6241964827167981,10293,16490,0.7276024974309874,2240291,3079004,0.007074274810709863,20213,2857254,0.021239272285024074,17883,841978,0.004010469627353186,7963,1985553,1.0184488717218947,40078,39352,0.33680626143525105,13254,39352,0.34712339906485057,13660,39352,0.15003032140691328,2474,16490,0.2605458426509453,10253,39352
no_factor_pressure,1,167,0.8633879781420765,0.8540540540540541,0.8586956521739131,158,25,27,1.0,1,1,1.0,7,7,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.095808383233533,183,167,0.05389221556886228,9,167,0.11976047904191617,20,167,0.0,0,1,0.005988023952095809,1,167
no_factor_pressure,17_64,87088,0.27059718723761544,0.22153958519059536,0.24362328512286874,20626,55598,72477,0.03238990213523132,1165,35968,0.7290720586608476,1298341,1780813,-0.0025237661681407862,-4485,1777106,0.005345725008281789,2356,440726,0.0062899716282130815,7990,1270276,0.8752526180415212,76224,87088,0.00824453426419254,718,87088,0.02034723498070917,1772,87088,0.016653692170818506,599,35968,0.006763273929818115,589,87088
no_factor_pressure,2_4,2034,0.6380429355966051,0.6051136363636364,0.6211421628189551,1278,725,834,0.5818181818181818,32,55,0.8610785463071512,1469,1706,0.020195838433292534,33,1634,0.013953488372093023,3,215,0.0014064697609001407,1,711,0.9847590953785644,2003,2034,0.04178957718780728,85,2034,0.045722713864306784,93,2034,0.45454545454545453,25,55,0.004424778761061947,9,2034
no_factor_pressure,5_16,14675,0.5001021033285685,0.47038862923362573,0.48479049818541736,7347,7344,8272,0.1494186046511628,257,1720,0.5834456207892204,33341,57145,0.007070418511641194,396,56008,0.01017455005878629,225,22114,0.0029366938032043418,79,26901,1.0010902896081773,14691,14675,0.034071550255536626,500,14675,0.03686541737649063,541,14675,0.07790697674418605,134,1720,0.014923339011925043,219,14675
no_factor_pressure,65_plus,39352,0.27649533466371823,0.2452929495920955,0.25996120738834444,10253,26829,31546,0.06331109763493026,1044,16490,0.6998450345425699,2010132,2872253,-0.0010947482184092692,-3128,2857278,0.002122383245167926,1787,841978,0.003000639108934078,5958,1985577,0.942315511282781,37082,39352,0.02165074202073592,852,39352,0.024496848953039236,964,39352,0.029047907822922985,479,16490,0.02109168530189063,830,39352
primary_only_pressure,1,167,0.8633879781420765,0.8540540540540541,0.8586956521739131,158,25,27,1.0,1,1,1.0,7,7,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.095808383233533,183,167,0.05389221556886228,9,167,0.11976047904191617,20,167,0.0,0,1,0.005988023952095809,1,167
primary_only_pressure,17_64,87088,0.3311926724529379,0.27419094980827685,0.3000082264869375,25528,51551,67575,0.1572508896797153,5656,35968,0.7368996458822692,1325146,1798272,0.0025749990996506646,4576,1777088,0.022518260348665445,9924,440709,0.008651669913995002,10990,1270275,0.8850702737460959,77079,87088,0.05286606650744075,4604,87088,0.06669116296160206,5808,87088,0.04765346975088968,1714,35968,0.039040970053279445,3400,87088
primary_only_pressure,2_4,2034,0.6413586413586414,0.6079545454545454,0.6242100145843461,1284,718,828,0.7818181818181819,43,55,0.8695652173913043,1500,1725,0.027539779681762546,45,1634,0.013953488372093023,3,215,0.0,0,711,0.984267453294002,2002,2034,0.051622418879056046,105,2034,0.05408062930186824,110,2034,0.45454545454545453,25,55,0.00983284169124877,20,2034
primary_only_pressure,5_16,14675,0.5219188291889695,0.4931813816505538,0.5071433274079926,7703,7056,7916,0.34418604651162793,592,1720,0.5975767085076709,34277,57360,0.016711898300242823,936,56008,0.019128154110518224,423,22114,0.0027508271067990036,74,26901,1.00572402044293,14759,14675,0.05546848381601363,814,14675,0.06194207836456559,909,14675,0.11627906976744186,200,1720,0.034207836456558775,502,14675
primary_only_pressure,65_plus,39352,0.35498247234979213,0.3125194382640733,0.3324003155296572,13063,23736,28736,0.3277744087325652,5405,16490,0.7123092167784395,2106220,2956890,0.002904169747986803,8298,2857271,0.011766382612310342,9907,841975,0.003531977922745726,7013,1985573,0.9351240089449075,36799,39352,0.13351290912787153,5254,39352,0.1394084163447855,5486,39352,0.03432383262583384,566,16490,0.1285322219963407,5058,39352
secondary_only_pressure,1,167,0.8852459016393442,0.8756756756756757,0.8804347826086957,162,21,23,1.0,1,1,1.0,7,7,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.095808383233533,183,167,0.029940119760479042,5,167,0.11976047904191617,20,167,0.0,0,1,0.005988023952095809,1,167
secondary_only_pressure,17_64,87088,0.7140768909502561,0.6978400266371653,0.7058650978602741,64971,26015,28132,0.6243883451957295,22458,35968,0.7913068017041122,1620772,2048222,0.028039371155468343,49827,1777037,0.07878698493374478,34723,440720,0.005780132938333965,7342,1270213,1.0447593239022597,90986,87088,0.39119051993386,34068,87088,0.40278798456733417,35078,87088,0.080043371886121,2879,35968,0.31027236817931286,27021,87088
secondary_only_pressure,2_4,2034,0.6501472031403337,0.6273674242424242,0.6385542168674699,1325,713,787,0.6727272727272727,37,55,0.8841001747233547,1518,1717,0.043451652386780906,71,1634,0.16279069767441862,35,215,0.0014064697609001407,1,711,1.0019665683382497,2038,2034,0.10422812192723697,212,2034,0.11750245821042281,239,2034,0.45454545454545453,25,55,0.02261553588987217,46,2034
secondary_only_pressure,5_16,14675,0.7335194045720361,0.7067033740956528,0.719861740633254,11038,4010,4581,0.6709302325581395,1154,1720,0.6512914217986073,39564,60747,0.0479176716513909,2682,55971,0.07569865243736999,1674,22114,0.005397558070279929,145,26864,1.0254173764906303,15048,14675,0.24286201022146509,3564,14675,0.2484497444633731,3646,14675,0.15755813953488373,271,1720,0.1268824531516184,1862,14675
secondary_only_pressure,65_plus,39352,0.607849991261142,0.582430201679466,0.5948686621869274,24345,15706,17454,0.6188599151000607,10205,16490,0.7276998934845621,2240171,3078427,0.007208677151569813,20597,2857251,0.021255899797856952,17897,841978,0.003779305482108232,7504,1985550,1.0177627566578573,40051,39352,0.33680626143525105,13254,39352,0.3474791624313885,13674,39352,0.1490600363856883,2458,16490,0.2616893677576743,10298,39352
