state,exposure_bucket,primary_or_secondary,factor_family,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
pre,high_gt100,primary,conflictWith,14841,0.9706219257462435,0.930328145003706,0.9847023852678896,0.9428670600485942,0.9633307326760764,0.9142913552569985,0.9971918098768375,0.051308008690524376
pre,high_gt100,primary,distinct,34216,0.2520166004208557,0.991933598316577,0.9870463297934414,0.980865128145657,0.9839460214053047,0.9978432671772173,0.9921311858537376,0.7460486082951494
pre,high_gt100,primary,inverse,10534,0.9501613821910005,0.976362255553446,0.9759118392822314,0.9998001798381456,0.9877115925578641,0.985873285471647,0.9991125949781583,0.0388553961797614
pre,high_gt100,primary,itemRequiresStatement,12020,0.9396838602329451,0.9396838602329451,0.9397570311199867,0.9999114652501107,0.9689014712821173,0.9788395231335195,0.997770970034687,0.04568068244294596
pre,high_gt100,primary,oneOf,1005,0.23482587064676616,0.23482587064676616,0.23482587064676616,1.0,0.38033843674456086,0.47877498842873195,0.21118046841576998,0.5484089977112575
pre,high_gt100,primary,single,17696,0.9997739602169982,0.9997739602169982,0.9997739602169982,1.0,0.9998869673335594,0.640706251413068,0.999814666394057,0.0006595578543155571
pre,high_gt100,primary,symmetric,4381,0.9420223693220726,0.9420223693220726,0.9420223693220726,1.0,0.9701457451810062,0.8499524926115517,0.9855312036325683,0.04736350843063425
pre,high_gt100,primary,type,10552,0.9736542835481425,0.9794351781652767,0.9813343543601034,0.9978586723768736,0.9895275324549974,0.9460939327183377,0.9977386928757814,0.014850467063593848
pre,high_gt100,primary,valueRequiresStatement,9631,0.940504620496314,0.940504620496314,0.940504620496314,1.0,0.969340253625127,0.961104836506408,0.9973133396206508,0.06676411935689226
pre,high_gt100,primary,valueType,7213,0.42146125051989464,0.8671842506585332,0.9224837662337663,0.7476973684210526,0.8259447674418606,0.913728133237479,0.9178695185691801,0.4824422015976264
pre,high_gt100,secondary,conflictWith,1827755,0.7143358929396992,0.9450872792031755,0.9702823260960836,0.9522943312467305,0.9612041791116315,0.9886782568858642,0.994903103830811,0.24482767219214754
pre,high_gt100,secondary,distinct,393401,1.0,0.9995780386933434,1.0,0.9995780386933434,0.9997889748244423,,,0.003962599474569111
pre,high_gt100,secondary,inverse,31782,0.12245925366559687,0.9716191554968221,0.9788597053171044,0.7852004110996916,0.8714000570287996,0.9790178951445205,0.9425224363792987,0.8644605785446096
pre,high_gt100,secondary,itemRequiresStatement,682391,0.9944342759502983,0.9950893256212348,0.9951863139954767,0.9998983190218584,0.9975367520852337,0.8111252723471389,0.9983057537188329,0.0044779245331765406
pre,high_gt100,secondary,oneOf,2287,0.9881941407958024,0.9881941407958024,0.9881941407958024,1.0,0.9940620189135694,0.6027531956735497,0.9927874214589607,0.18235524822959848
pre,high_gt100,secondary,single,1344886,0.9985589856686737,0.9985589856686737,0.9985589856686737,1.0,0.999278973329454,0.9181693290333559,0.9998502921201892,0.0003322062679639164
