schema_version,validator_semantics_version,hierarchy_content_sha256,stratum,constraint_type,support,pfr_numerator,pfr_denominator,pfr_value,local_satisfaction_numerator,local_satisfaction_denominator,local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,delta_local_satisfaction_value,sir_numerator,sir_denominator,sir_value,srr_numerator,srr_denominator,srr_value,disruption_numerator,disruption_denominator,disruption_value,base_deletion_rate_numerator,base_deletion_rate_denominator,base_deletion_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,deletes_base_action_rate_value,eppf_numerator,eppf_denominator,eppf_value,vacuous_improvement_numerator,vacuous_improvement_denominator,vacuous_improvement_value
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,conflictWith,13973,13310,13973,0.9525513490302727,869942,959243,0.906904715489193,15045,959138,0.015685959684633495,4310,90282,0.04773930573093197,2575,854883,0.0030121080896450157,13968,13973,0.9996421670364274,7700,13973,0.5510627639018106,7703,13973,0.5512774636799542,5749,13973,0.41143634151578046,6876,13973,0.49209189150504545
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,distinct,32443,32438,32443,0.9998458835496101,1329287,1402093,0.9480733446354842,33196,1402070,0.023676421291376322,886,73546,0.012046882223370407,128,1296081,9.875925964503761e-05,32924,32443,1.0148260025275098,32348,32443,0.9970717874425916,32348,32443,0.9970717874425916,90,32443,0.0027740961070184633,32226,32443,0.9933113460530777
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,inverse,7694,5178,7694,0.67299194177281,199496,217932,0.9154048051685847,5059,217925,0.023214408626821153,61,15794,0.0038622261618336076,180,194437,0.000925749728703899,7576,7694,0.9846633740577073,137,7694,0.0178060826618144,139,7694,0.018066025474395633,5042,7694,0.6553158305172861,136,7694,0.017676111255523784
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,itemRequiresStatement,12003,6868,12003,0.5721902857618929,233703,268121,0.8716325837961219,7975,267441,0.029819661158909817,3861,29727,0.1298819255222525,2754,225711,0.012201443438733603,11883,12003,0.9900024993751562,60,12003,0.0049987503124218945,67,12003,0.005581937848871115,6808,12003,0.567191535449471,59,12003,0.004915437807214863
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,oneOf,221,127,221,0.5746606334841629,8581,9504,0.9028829966329966,125,9503,0.013153740923918763,5,826,0.006053268765133172,7,8456,0.0008278145695364238,309,221,1.3981900452488687,207,221,0.9366515837104072,213,221,0.9638009049773756,0,221,0.0,126,221,0.5701357466063348
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,single,1883,1880,1883,0.9984067976633032,100577,105189,0.9561551112758939,1855,105186,0.017635426767820813,36,4583,0.0078551167357626,61,98720,0.0006179092382495948,1888,1883,1.002655337227828,1864,1883,0.9899097185342538,1864,1883,0.9899097185342538,17,1883,0.009028146574614976,1812,1883,0.9622942113648434
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,type,8431,6416,8431,0.7610010674890286,218714,237199,0.9220696545938221,16309,236862,0.06885443844939247,15252,27729,0.5500378664935627,5359,202072,0.026520250207846707,8415,8431,0.99810224172696,15,8431,0.0017791483809749733,15,8431,0.0017791483809749733,6401,8431,0.7592219191080536,14,8431,0.001660538488909975
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,valueRequiresStatement,6257,5854,6257,0.9355921368067764,277138,287908,0.962592216958195,8114,287876,0.02818574664091484,2630,12595,0.20881302104009528,370,269024,0.001375341976923992,6248,6257,0.9985616109956849,3,6257,0.000479463001438389,3,6257,0.000479463001438389,5851,6257,0.935112673805338,2,6257,0.000319642000958926
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_fix,valueType,5486,4401,5486,0.8022238425082027,405678,425371,0.9537039431461007,24152,425317,0.0567858797085468,20951,38768,0.5404199339661576,1200,381489,0.0031455690727648766,5477,5486,0.9983594604447685,12,5486,0.002187386073641998,12,5486,0.002187386073641998,4389,5486,0.8000364564345607,12,5486,0.002187386073641998
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,conflictWith,926,529,926,0.5712742980561555,48517,54685,0.8872085581055134,619,54672,0.011322066139888792,144,5849,0.024619593092836383,54,47897,0.001127419253815479,924,926,0.9978401727861771,655,926,0.7073434125269978,655,926,0.7073434125269978,31,926,0.03347732181425486,495,926,0.5345572354211663
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,distinct,180,7,180,0.03888888888888889,3391,4534,0.7479047198941332,8,4533,0.0017648356496801235,3,971,0.003089598352214212,2,3382,0.0005913660555884093,180,180,1.0,179,180,0.9944444444444445,179,180,0.9944444444444445,0,180,0.0,7,180,0.03888888888888889
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,inverse,172,47,172,0.27325581395348836,5679,6339,0.8958826313298628,39,6338,0.006153360681603029,4,529,0.007561436672967864,12,5639,0.00212803688597269,167,172,0.9709302325581395,6,172,0.03488372093023256,6,172,0.03488372093023256,44,172,0.2558139534883721,5,172,0.029069767441860465
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,itemRequiresStatement,70,16,70,0.22857142857142856,2442,2803,0.8712094184801998,-28,2801,-0.009996429846483398,10,261,0.038314176245210725,54,2470,0.02186234817813765,67,70,0.9571428571428572,2,70,0.02857142857142857,2,70,0.02857142857142857,14,70,0.2,2,70,0.02857142857142857
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,oneOf,8,3,8,0.375,370,409,0.9046454767726161,3,409,0.007334963325183374,0,34,0.0,0,367,0.0,9,8,1.125,8,8,1.0,8,8,1.0,0,8,0.0,3,8,0.375
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,single,1890,63,1890,0.03333333333333333,83839,93332,0.898287832683324,65,93330,0.0006964534447658845,8,7666,0.0010435690060005217,6,83774,7.16212667414711e-05,1890,1890,1.0,1880,1890,0.9947089947089947,1880,1890,0.9947089947089947,1,1890,0.0005291005291005291,66,1890,0.03492063492063492
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,type,247,30,247,0.1214574898785425,5772,6275,0.9198406374501992,38,6272,0.006058673469387755,95,322,0.2950310559006211,87,5731,0.015180596754493108,89,247,0.3603238866396761,1,247,0.004048582995951417,1,247,0.004048582995951417,29,247,0.11740890688259109,1,247,0.004048582995951417
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,valueRequiresStatement,98,48,98,0.4897959183673469,5157,5503,0.9371252044339451,26,5503,0.004724695620570598,6,274,0.021897810218978103,28,5131,0.005457025920873124,92,98,0.9387755102040817,0,98,0.0,0,98,0.0,48,98,0.4897959183673469,0,98,0.0
