variant,density_bucket,delta_fidelity_f1,delta_pfr,delta_local_satisfaction,delta_delta_local_satisfaction,delta_srr,delta_sir,delta_disruption,delta_base_deletion_rate,delta_deletes_base_action_rate,delta_eppf,delta_vacuous_improvement,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191614,0.011976047904191614,0.0,0.0,167,0.011976048350334167,0.011976048350334167,0.071856290102005
no_factor_pressure,17_64,-0.36046195425964667,-0.5673098309608541,-0.05307027498848327,-0.027287789897649087,0.000195016537212293,-0.06314418195975113,0.0,-0.32345443689142017,-0.32345443689142017,-0.06038701067615658,-0.25674030865331615,87088,0.6672676205635071,0.5431134700775146,3.258680820465088
no_factor_pressure,2_4,-0.18234442836468878,-0.6,-0.031059197870078048,-0.03182374541003672,0.0,-0.08837209302325581,0.0,-0.019174041297935096,-0.019174041297935096,-0.36363636363636365,-0.015732546705998034,2034,0.3087512254714966,0.15150770545005798,0.9090462327003479
no_factor_pressure,5_16,-0.3200633788869082,-0.5482558139534884,-0.05196590839963511,-0.031034057892110473,-0.0016414139359238068,-0.03748756443881704,0.0,-0.15325383304940374,-0.15325383304940374,-0.10232558139534884,-0.08265758091993185,14675,0.5343100428581238,0.2873026728630066,1.7238160371780396
no_factor_pressure,65_plus,-0.2792818326329928,-0.5067313523347483,-0.024894351772620893,-0.008686444412691249,-0.00068103895072145,-0.021157180736738113,0.0,-0.27035474689977634,-0.27035474689977634,-0.1370527592480291,-0.2040048790404554,39352,0.6683014631271362,0.4503583014011383,2.7021498680114746
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.30401074415481344,-0.4688056049822064,-0.045268434362831345,-0.0209458977140521,-0.00013956485030065715,-0.04658277379071908,0.0,-0.28573397023700164,-0.28573397023700164,-0.03136120996441281,-0.2267132096270439,87088,0.6056747436523438,0.4945342540740967,2.96720552444458
primary_only_pressure,2_4,-0.05209840810419675,-0.16363636363636358,-0.01622653834710963,-0.016523867809057527,0.0,-0.08372093023255814,0.0,-0.04326450344149459,-0.04326450344149459,-0.05454545454545451,-0.011307767944936088,2034,0.18387414515018463,0.09234677255153656,0.554080605506897
primary_only_pressure,5_16,-0.260381593714927,-0.30174418604651165,-0.037901544098008055,-0.019855396222803547,-0.0015668999651301477,-0.028262639052184138,0.0,-0.1225212947189097,-0.1225212947189097,-0.04476744186046511,-0.05996592844974446,14675,0.4653492271900177,0.2418057918548584,1.4508347511291504
primary_only_pressure,65_plus,-0.19758228487634164,-0.26749545178896295,-0.01395271863325942,-0.004218184309339075,-0.00028514130332774187,-0.009747062950062096,0.0,-0.1820746086602968,-0.1820746086602968,-0.10206185567010309,-0.11801179101443383,39352,0.5873144865036011,0.35699158906936646,2.1419496536254883
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191614,0.011976047904191614,0.0,0.0,167,0.011976048350334167,0.011976048350334167,0.071856290102005
secondary_only_pressure,17_64,-0.02118862762291107,-0.00878558718861211,-0.00011988548471053573,-5.89251618486053e-05,-0.00010154623609967463,0.00019419756250882436,0.0,-0.0030773470512585055,-0.0030773470512585055,-0.004114768683274012,-0.0011252985485945,87088,0.07321330159902573,0.03304129093885422,0.1982477456331253
secondary_only_pressure,2_4,-0.11577424023154848,-0.4727272727272727,-0.015014324445077887,-0.016523867809057527,0.0,-0.004651162790697674,0.0,0.08947885939036382,0.08947885939036382,-0.34545454545454546,-0.0039331366764995095,2034,0.2266470044851303,0.14503441751003265,0.8702064752578735
secondary_only_pressure,5_16,-0.032943817257542585,-0.046511627906976716,8.982938340806879e-05,-0.0004817220934884084,7.464717424683805e-05,0.002487112236592204,0.0,0.005451448040885876,0.005451448040885876,-0.029651162790697655,0.00020442930153322103,14675,0.1073935255408287,0.0508233942091465,0.3049403727054596
secondary_only_pressure,65_plus,-0.01831154267969587,-0.004730139478471784,0.00038012588979186024,0.0003545363347624113,-5.289933830846449e-05,0.0011709805181570193,0.0,-0.00020329335230734324,-0.00020329335230734324,-0.00012128562765312267,-0.0008385850782679505,39352,0.05516873300075531,0.030913295224308968,0.1854797750711441
