variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,pfr,pfr_numerator,pfr_denominator,local_satisfaction,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir,sir_numerator,sir_denominator,srr,srr_numerator,srr_denominator,disruption,disruption_numerator,disruption_denominator,base_deletion_rate,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf,eppf_numerator,eppf_denominator,vacuous_improvement,vacuous_improvement_numerator,vacuous_improvement_denominator
normal,1,167,0.8323353293413174,0.7513513513513513,0.7897727272727273,139,28,46,1.0,1,1,1.0,8,8,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.0,167,167,0.023952095808383235,4,167,0.023952095808383235,4,167,0.0,0,1,0.005988023952095809,1,167
normal,17_64,87088,0.5409585706411906,0.5060094733789459,0.5229006998129762,47111,39977,45992,0.6021463523131673,21658,35968,0.7851790673476874,1573385,2003855,0.0263142789614073,46761,1777020,0.07319807043896152,32260,440722,0.005628274106160161,7149,1270194,1.0,87088,87088,0.33901341172147714,29524,87088,0.33901341172147714,29524,87088,0.07364879893238434,2649,35968,0.2669598566966746,23249,87088
normal,2_4,2034,0.6332350049164208,0.6098484848484849,0.6213217559093102,1288,746,824,0.9272727272727272,51,55,0.8900849858356941,1571,1765,0.046511627906976744,76,1634,0.11627906976744186,25,215,0.0,0,711,1.0,2034,2034,0.13126843657817108,267,2034,0.13126843657817108,267,2034,0.43636363636363634,24,55,0.024582104228121928,50,2034
normal,5_16,14675,0.6712776831345826,0.6307061911774121,0.6503598072225523,9851,4824,5768,0.6232558139534884,1072,1720,0.6394460126446458,38737,60579,0.036087539079946405,2020,55975,0.04969702450936059,1099,22114,0.005545630489801995,149,26868,1.0,14675,14675,0.18943781942078364,2780,14675,0.18943781942078364,2780,14675,0.1563953488372093,269,1720,0.09097103918228279,1335,14675
normal,65_plus,39352,0.45316629396218744,0.42663700088518863,0.4395016697268056,17833,21519,23966,0.5754396604002425,9489,16490,0.7274068411751062,2226716,3061170,0.008476086103538038,24216,2856979,0.024994655201083214,21044,841940,0.003181861225114793,6317,1985316,1.0,39352,39352,0.3088026021549095,12152,39352,0.3088026021549095,12152,39352,0.15918738629472406,2625,16490,0.2349308802602155,9245,39352
no_factor_pressure,1,167,0.8323353293413174,0.7513513513513513,0.7897727272727273,139,28,46,1.0,1,1,1.0,8,8,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.0,167,167,0.03592814371257485,6,167,0.03592814371257485,6,167,0.0,0,1,0.005988023952095809,1,167
no_factor_pressure,17_64,87088,0.16804841080286606,0.15719149758869208,0.16243874555332952,14635,72453,78468,0.03483652135231317,1253,35968,0.7321087923592041,1309840,1789133,-0.0009735109362417864,-1730,1777073,0.010053888479210392,4431,440725,0.005823290643372454,7397,1270244,1.0,87088,87088,0.015558974830056953,1355,87088,0.015558974830056953,1355,87088,0.013261788256227758,477,35968,0.010219548043358442,890,87088
no_factor_pressure,2_4,2034,0.4473942969518191,0.4308712121212121,0.4389773275446214,910,1124,1202,0.32727272727272727,18,55,0.859025787965616,1499,1745,0.014687882496940025,24,1634,0.027906976744186046,6,215,0.0,0,711,1.0,2034,2034,0.11209439528023599,228,2034,0.11209439528023599,228,2034,0.07272727272727272,4,55,0.008849557522123894,18,2034
no_factor_pressure,5_16,14675,0.3409199318568995,0.3203150009603688,0.33029642833564404,5003,9672,10616,0.075,129,1720,0.5874801042450107,33588,57173,0.005053481187835931,283,56001,0.012209460070543547,270,22114,0.0039042165538781884,105,26894,1.0,14675,14675,0.0361839863713799,531,14675,0.0361839863713799,531,14675,0.05406976744186046,93,1720,0.008313458262350937,122,14675
no_factor_pressure,65_plus,39352,0.1652012604187843,0.1555300366037465,0.1602198370938128,6501,32851,35298,0.06870830806549424,1133,16490,0.7025124894024853,2029312,2888649,-0.00021035830915321156,-601,2857030,0.0038374744643450997,3231,841960,0.002500822274393343,4965,1985347,1.0,39352,39352,0.038447855255133154,1513,39352,0.038447855255133154,1513,39352,0.022134627046694968,365,16490,0.030926001219760114,1217,39352
primary_only_pressure,1,167,0.8323353293413174,0.7513513513513513,0.7897727272727273,139,28,46,1.0,1,1,1.0,8,8,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.0,167,167,0.023952095808383235,4,167,0.023952095808383235,4,167,0.0,0,1,0.005988023952095809,1,167
primary_only_pressure,17_64,87088,0.22644910894727172,0.21181916801821637,0.21888995565816272,19721,67367,73382,0.13334074733096085,4796,35968,0.739910632984856,1331006,1798874,0.0053683812473552,9540,1777072,0.02661529664824244,11730,440724,0.005488709255859504,6972,1270244,1.0,87088,87088,0.05327944148447547,4640,87088,0.05327944148447547,4640,87088,0.04228758896797153,1521,35968,0.04024664706963072,3505,87088
primary_only_pressure,2_4,2034,0.5801376597836775,0.5587121212121212,0.5692233478051134,1180,854,932,0.7636363636363637,42,55,0.8738584474885844,1531,1752,0.029987760097919217,49,1634,0.03255813953488372,7,215,0.0,0,711,1.0,2034,2034,0.0880039331366765,179,2034,0.0880039331366765,179,2034,0.38181818181818183,21,55,0.01327433628318584,27,2034
primary_only_pressure,5_16,14675,0.4025212947189097,0.37819322619886037,0.3899782135076253,5907,8768,9712,0.32151162790697674,553,1720,0.6015444685466378,34664,57625,0.016232142857142858,909,56000,0.02143438545717645,474,22114,0.003978730524671847,107,26893,1.0,14675,14675,0.06691652470187394,982,14675,0.06691652470187394,982,14675,0.11162790697674418,192,1720,0.03100511073253833,455,14675
primary_only_pressure,65_plus,39352,0.2494409432811547,0.23483815402282351,0.24191938485046396,9816,29536,31983,0.3079442086112796,5078,16490,0.7134541225418468,2107831,2954403,0.004257901794198963,12165,2857041,0.015247592251021118,12838,841969,0.002896719921787051,5751,1985349,1.0,39352,39352,0.12672799349461272,4987,39352,0.12672799349461272,4987,39352,0.05712553062462098,942,16490,0.11691908924578166,4601,39352
secondary_only_pressure,1,167,0.8323353293413174,0.7513513513513513,0.7897727272727273,139,28,46,1.0,1,1,1.0,8,8,0.14285714285714285,1,7,0.0,0,0,0.0,0,0,1.0,167,167,0.03592814371257485,6,167,0.03592814371257485,6,167,0.0,0,1,0.005988023952095809,1,167
secondary_only_pressure,17_64,87088,0.5190382142200992,0.4855053005810769,0.5017120721900651,45202,41886,47901,0.5933607651245552,21342,35968,0.7850591818629769,1572523,2003063,0.026255353799558696,46656,1777009,0.07339226800147035,32345,440714,0.005526727870060487,7020,1270191,1.0,87088,87088,0.33593606467021864,29256,87088,0.33593606467021864,29256,87088,0.06953403024911033,2501,35968,0.2658345581480801,23151,87088
secondary_only_pressure,2_4,2034,0.5152409046214356,0.4962121212121212,0.5055475156777617,1048,986,1064,0.45454545454545453,25,55,0.8750706613906162,1548,1769,0.029987760097919217,49,1634,0.11162790697674418,24,215,0.0,0,711,1.0,2034,2034,0.2207472959685349,449,2034,0.2207472959685349,449,2034,0.09090909090909091,5,55,0.02064896755162242,42,2034
secondary_only_pressure,5_16,14675,0.6372742759795571,0.5987579230424483,0.6174159899650097,9352,5323,6267,0.5767441860465117,992,1720,0.6395358420280539,38800,60669,0.035605816986458,1993,55974,0.05218413674595279,1154,22114,0.005620277664048833,151,26867,1.0,14675,14675,0.1948892674616695,2860,14675,0.1948892674616695,2860,14675,0.12674418604651164,218,1720,0.09117546848381601,1338,14675
