state,density_bucket,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
pre,1,inverse,9,1,1.0,1.0,1.0,1.0,1.0,,,0.0002817511558532715
pre,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.0025362372398376465
pre,1,symmetric,14,2,1.0,1.0,1.0,1.0,1.0,,,7.146596908569336e-05
pre,1,type,5,22,1.0,1.0,1.0,1.0,1.0,,,0.014924279668114448
pre,1,valueRequiresStatement,15,26,1.0,1.0,1.0,1.0,1.0,,,0.04011244957263649
pre,17_64,conflictWith,3,720412,0.7540032647984765,0.956613715485028,0.9737551753942739,0.9685636596937001,0.9711524794875818,0.99112706552939,0.997009181754739,0.20866984556123397
pre,17_64,distinct,2,156422,0.8556213320376929,0.9962281520502231,0.9995426257779111,0.9960474603625278,0.9977919822759799,0.9996927180899254,0.9999490328025205,0.15217803067521052
pre,17_64,inverse,9,34015,0.26697045421137733,0.9868293399970601,0.9882366248161972,0.9621187093932386,0.9750027898672023,0.9884507653889782,0.985699761018086,0.7176658869097456
pre,17_64,itemRequiresStatement,4,219708,0.9857174067398548,0.9885393340251607,0.9886764195569192,0.9998245371011683,0.9942192285264313,0.8721808741673335,0.9972882437277323,0.005404972502308612
pre,17_64,oneOf,12,1930,0.8580310880829015,0.8580310880829015,0.8580310880829015,1.0,0.9235917456776352,0.5963979688987623,0.911278475366162,0.06603656167193397
pre,17_64,single,0,587533,0.9984613630213112,0.9984647670854233,0.9984664586769334,0.9999982953450989,0.9992317899294645,0.956017449337845,0.9999128213900732,0.0004329041158337561
pre,17_64,symmetric,14,2596,0.9576271186440678,0.9576271186440678,0.9576271186440678,1.0,0.9783549783549783,0.7419384919183794,0.9778258733695495,0.03255531251522352
pre,17_64,type,5,206317,0.9772001337747253,0.9864044165046991,0.9883661517902763,0.9978324810404091,0.9930767578987899,0.9521850303661514,0.9985170045121571,0.008976900166680277
pre,17_64,valueRequiresStatement,15,9371,0.9724682531213318,0.9724682531213318,0.9724682531213318,1.0,0.9860419822549232,0.8995731457828795,0.9959223165511593,0.022408602376615683
pre,17_64,valueType,16,146142,0.8972232486212041,0.9710281780733807,0.9804762049013965,0.9873705404127454,0.9839112955320977,0.9790452205588677,0.9955936533716417,0.07555396275774752
