state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
pre,conflictWith,3,1843471,0.7164360057738907,0.9481266588950952,0.9696180502315311,0.957600688710553,0.9635719017526644,0.9893448616398364,0.995614888298413,0.23916963872361802
pre,distinct,2,431550,0.9406951685783802,0.9980349901517784,0.9997705375097151,0.9981401971144727,0.9989547021147559,0.9998343755316443,0.999989477654522,0.06483504688103744
pre,inverse,9,42384,0.3294167610419026,0.9709088335220838,0.9742901855577912,0.9363987967339923,0.9549687739673497,0.9847627522540221,0.9822911173032647,0.648097736346972
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9945133892007856,0.9946103766210367,0.9998958848857658,0.9972461273666093,0.8497119839672203,0.9983159118176628,0.0042747526624344065
pre,oneOf,12,3331,0.7577304112879015,0.7577304112879015,0.7577304112879015,1.0,0.8621690862510675,0.6716483345999839,0.8750237918058175,0.08805971693541693
pre,single,0,1368781,0.9985768358853607,0.9985695301147517,0.9985790110062721,0.9999904889624409,0.9992842515603536,0.8962761021964125,0.9997915709123208,0.00038717949577167054
pre,symmetric,14,4698,0.945295870583227,0.945295870583227,0.945295870583227,1.0,0.9718787613524456,0.7808863639748822,0.9780409840398233,0.018277791382252467
pre,type,5,752048,0.9428600302108376,0.9760188179477906,0.9839948003412277,0.9906794194134338,0.9873257955724968,0.9738328607104126,0.9978901303418234,0.033667143590492
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9631340935902477,0.9631340935902477,1.0,0.981220892383194,0.8877683984893334,0.9940998520846844,0.02514109861895278
pre,valueType,16,466401,0.8707635704040085,0.9695626724642529,0.9798899481575989,0.985265620190828,0.982570431613868,0.9834519095611505,0.9963889080685095,0.1005481016209645
