variant,density_bucket,delta_fidelity_f1,delta_pfr,delta_local_satisfaction,delta_delta_local_satisfaction,delta_srr,delta_sir,delta_disruption,delta_base_deletion_rate,delta_deletes_base_action_rate,delta_eppf,delta_vacuous_improvement,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.0019960079807788134,0.011976048350334167
no_factor_pressure,17_64,-0.3338293362742858,-0.8288478647686833,-0.08062766159965773,-0.03972841205985428,-0.0010273353341611674,-0.0953199947359584,-0.2496555208524711,-0.5142729193459489,-0.5142729193459489,-0.006505782918149464,-0.4316208892155061,87088,0.7283667325973511,0.5466386675834656,3.279831886291504
no_factor_pressure,2_4,-0.05770112761895724,-0.2181818181818182,-0.03358461085107689,-0.03121175030599755,0.0014064697609001407,-0.11162790697674418,0.0068829891838742,-0.06981317600786627,-0.06981317600786627,0.0,-0.017699115044247787,2034,0.3102261424064636,0.13036708533763885,0.7822025418281555
no_factor_pressure,5_16,-0.27998288936200133,-0.5906976744186045,-0.07618769692652072,-0.04756538023499404,0.013902828891119288,-0.05621137454666742,0.004633730834752936,-0.21437819420783646,-0.21437819420783646,-0.001162790697674429,-0.11448040885860307,14675,0.6314821243286133,0.33183419704437256,1.9910050630569458
no_factor_pressure,65_plus,-0.26814436203081804,-0.6080048514251061,-0.03123374310670679,-0.007605481080700712,-0.002152003624074616,-0.018953296375267357,0.00627668225249034,-0.38681642610286643,-0.38681642610286643,-0.05203153426318982,-0.300111811343769,39352,0.719912588596344,0.5112828016281128,3.0676965713500977
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.2937804952458644,-0.6836354537366549,-0.06969840877797318,-0.03241769887142223,0.0008706594512733166,-0.07223081914840514,-0.2504822708065405,-0.4484659195296711,-0.4484659195296711,-0.006366770462633451,-0.37506889582950576,87088,0.6599990725517273,0.4749659299850464,2.8497955799102783
primary_only_pressure,2_4,-0.04239489418240483,-0.036363636363636376,-0.0257682380111397,-0.024479804161566705,0.0,-0.11162790697674418,0.005899705014749235,-0.06145526057030482,-0.06145526057030482,0.03636363636363632,-0.013765978367748281,2034,0.30432644486427307,0.12323828041553497,0.7394297122955322
primary_only_pressure,5_16,-0.2521867688164896,-0.3296511627906976,-0.05964811820218985,-0.03519214783962195,0.013345228801903277,-0.04590116382043065,0.004497444633730807,-0.1778534923339012,-0.1778534923339012,0.0017441860465116227,-0.0838160136286201,14675,0.5948892831802368,0.290437251329422,1.7426235675811768
primary_only_pressure,65_plus,-0.237336359640412,-0.32195269860521525,-0.018678632765955938,-0.003245786122855746,-0.001553194895870826,-0.008348506226356103,0.0012705834519211034,-0.27220979873958123,-0.27220979873958123,-0.028077622801698003,-0.19129904452124413,39352,0.6377312541007996,0.3903740644454956,2.3422443866729736
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.0019960079807788134,0.011976048350334167
secondary_only_pressure,17_64,0.001198676018271616,0.00041703736654796764,0.00038873338329814544,0.00036013405990379527,-0.00024089063407768067,0.0006693501177602312,-0.002216149182436178,0.0038926143670769964,0.0038926143670769964,-0.0010564946619217065,0.0032610692632739635,87088,0.038455355912446976,0.01110753882676363,0.06664523482322693
secondary_only_pressure,2_4,0.0017937672677580396,-0.1454545454545455,0.00769845125822799,0.007955936352509185,0.0014064697609001407,0.10232558139534884,0.002458210422812246,0.031465093411996076,0.031465093411996076,-0.036363636363636376,0.007866273352999015,2034,0.09390363842248917,0.057849884033203125,0.34709930419921875
secondary_only_pressure,5_16,-0.010849081328498489,-0.0029069767441859407,0.006788722049259954,0.005999250093738286,0.0,0.015375570931126487,-0.007086882453151588,0.02712095400340714,0.02712095400340714,-0.001162790697674429,0.023168654173764902,14675,0.11018739640712738,0.0496763214468956,0.2980579137802124
secondary_only_pressure,65_plus,0.0026230244848091666,-0.0006670709520921747,-0.00018041600609319808,-6.687985583105766e-05,0.00016014487071201082,0.00015901059144762114,-0.001245171782882748,-0.0015755234803822016,-0.0015755234803822016,0.011036992116434191,-0.002541166903842207,39352,0.03374669700860977,0.010300196707248688,0.061801180243492126
