variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,pfr,pfr_numerator,pfr_denominator,local_satisfaction,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir,sir_numerator,sir_denominator,srr,srr_numerator,srr_denominator,disruption,disruption_numerator,disruption_denominator,base_deletion_rate,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf,eppf_numerator,eppf_denominator,vacuous_improvement,vacuous_improvement_numerator,vacuous_improvement_denominator
normal,1,167,0.9090909090909091,0.8108108108108109,0.8571428571428571,150,15,35,0.0,0,1,0.9230769230769231,24,26,-0.14285714285714285,-1,7,0.0,0,0,0.0,0,0,0.9880239520958084,165,167,0.12574850299401197,21,167,0.12574850299401197,21,167,0.0,0,1,0.0,0,167
normal,17_64,87088,0.48010967615580463,0.44761178479748237,0.46329153326218425,41674,45127,51429,0.8398298487544484,30207,35968,0.8102391202334075,1747339,2156572,0.03809149205791856,67693,1777116,0.10206568253291161,44983,440726,0.0058734804603057895,7461,1270286,0.9967044828219732,86801,87088,0.5147551901524894,44829,87088,0.5147551901524894,44829,87088,0.017070729537366547,614,35968,0.43181609406577254,37606,87088
normal,2_4,2034,0.5437625754527163,0.5118371212121212,0.5273170731707316,1081,907,1031,0.6909090909090909,38,55,0.8810623556581986,1526,1732,0.03916768665850673,64,1634,0.12093023255813953,26,215,0.0,0,711,0.9773844641101278,1988,2034,0.10127826941986234,206,2034,0.10127826941986234,206,2034,0.38181818181818183,21,55,0.02015732546705998,41,2034
normal,5_16,14675,0.47697277976354135,0.4442665983737755,0.4600391155898829,6939,7609,8680,0.6703488372093023,1153,1720,0.645575235779304,39291,60862,0.04181620154623529,2342,56007,0.05833672500339167,1290,22113,0.0037173339281067618,100,26901,0.9913458262350937,14548,14675,0.22405451448040886,3288,14675,0.22405451448040886,3288,14675,0.07209302325581396,124,1720,0.11570698466780238,1698,14675
normal,65_plus,39352,0.3764455498858945,0.35122849828943276,0.36340008416049907,14681,24318,27118,0.630563978168587,10398,16490,0.7320851154613313,2278530,3112384,0.008685867878073066,24818,2857285,0.023506859532499494,19792,841967,0.0026974282268035525,5356,1985595,0.9910296808294369,38999,39352,0.3892305346615166,15317,39352,0.3892305346615166,15317,39352,0.06895087932080049,1137,16490,0.30252591990241917,11905,39352
no_factor_pressure,1,167,0.9090909090909091,0.8108108108108109,0.8571428571428571,150,15,35,0.0,0,1,0.9230769230769231,24,26,-0.14285714285714285,-1,7,0.0,0,0,0.0,0,0,0.9880239520958084,165,167,0.12574850299401197,21,167,0.12574850299401197,21,167,0.0,0,1,0.0,0,167
no_factor_pressure,17_64,87088,0.15736485344072304,0.10996423316112262,0.1294621969878985,10238,54821,82865,0.010981983985765125,395,35968,0.7296114586337498,1297819,1778781,-0.0016369200019357183,-2909,1777118,0.006745687796953209,2973,440726,0.004846145126144622,6156,1270288,0.7470489619695021,65059,87088,0.00048227080654051073,42,87088,0.00048227080654051073,42,87088,0.010564946619217083,380,35968,0.0001952048502663972,17,87088
no_factor_pressure,2_4,2034,0.4825174825174825,0.45738636363636365,0.4696159455517744,966,1036,1146,0.4727272727272727,26,55,0.8474777448071217,1428,1685,0.00795593635250918,13,1634,0.009302325581395349,2,215,0.0014064697609001407,1,711,0.984267453294002,2002,2034,0.03146509341199607,64,2034,0.03146509341199607,64,2034,0.38181818181818183,21,55,0.0024582104228121925,5,2034
no_factor_pressure,5_16,14675,0.18623426382047073,0.17427492156988283,0.1800562262278816,2722,11894,12897,0.07965116279069767,137,1720,0.5693875388527833,32241,56624,-0.005749178688758749,-322,56008,0.002125350456724247,47,22114,0.01762016281922605,474,26901,0.9959795570698466,14616,14675,0.009676320272572403,142,14675,0.009676320272572403,142,14675,0.07093023255813953,122,1720,0.0012265758091993186,18,14675
no_factor_pressure,65_plus,39352,0.09835397237935076,0.09234670685901576,0.09525572212968103,3860,35386,37939,0.022559126743480897,372,16490,0.7008513723546245,2004826,2860558,0.0010803867973723537,3087,2857310,0.004553563157232137,3834,841978,0.0005454246027289361,1083,1985609,0.9973063630819272,39246,39352,0.002414108558650132,95,39352,0.002414108558650132,95,39352,0.016919345057610672,279,16490,0.002414108558650132,95,39352
primary_only_pressure,1,167,0.9090909090909091,0.8108108108108109,0.8571428571428571,150,15,35,0.0,0,1,0.9230769230769231,24,26,-0.14285714285714285,-1,7,0.0,0,0,0.0,0,0,0.9880239520958084,165,167,0.12574850299401197,21,167,0.12574850299401197,21,167,0.0,0,1,0.0,0,167
primary_only_pressure,17_64,87088,0.20617969747795714,0.14391587811348722,0.16951103801631984,13399,51588,79704,0.15619439501779359,5618,35968,0.7405407114554343,1334972,1802699,0.005673793186496338,10083,1777118,0.029834863384506475,13149,440726,0.006744139911579106,8567,1270288,0.7462222120154327,64987,87088,0.0662892706228183,5773,87088,0.0662892706228183,5773,87088,0.010703959074733095,385,35968,0.05674719823626676,4942,87088
primary_only_pressure,2_4,2034,0.4985,0.4720643939393939,0.4849221789883268,997,1003,1115,0.6545454545454545,36,55,0.8552941176470589,1454,1700,0.014687882496940025,24,1634,0.009302325581395349,2,215,0.0,0,711,0.983284169124877,2000,2034,0.03982300884955752,81,2034,0.03982300884955752,81,2034,0.41818181818181815,23,55,0.006391347099311701,13,2034
primary_only_pressure,5_16,14675,0.2149993157246476,0.20116524745502273,0.20785234677339331,3142,11472,12477,0.34069767441860466,586,1720,0.5859271175771141,33508,57188,0.006624053706613341,371,56008,0.01243556118296102,275,22114,0.01706256273001004,459,26901,0.9958432708688245,14614,14675,0.04620102214650767,678,14675,0.04620102214650767,678,14675,0.07383720930232558,127,1720,0.03189097103918228,468,14675
primary_only_pressure,65_plus,39352,0.13050270173371917,0.1219167922677576,0.12606372452008707,5096,33953,36703,0.30861127956337175,5089,16490,0.7134064826953753,2098854,2942017,0.0054400817552173195,15544,2857310,0.015158353306143391,12763,841978,0.0011442333309327265,2272,1985609,0.992300264281358,39049,39352,0.11702073592193535,4605,39352,0.11702073592193535,4605,39352,0.04087325651910249,674,16490,0.11122687538117504,4377,39352
secondary_only_pressure,1,167,0.9090909090909091,0.8108108108108109,0.8571428571428571,150,15,35,0.0,0,1,0.9230769230769231,24,26,-0.14285714285714285,-1,7,0.0,0,0,0.0,0,0,0.9880239520958084,165,167,0.12574850299401197,21,167,0.12574850299401197,21,167,0.0,0,1,0.0,0,167
secondary_only_pressure,17_64,87088,0.48190698318861996,0.4482884547221894,0.46449020928045587,41737,44871,51366,0.8402468861209964,30222,35968,0.8106278536167056,1748808,2157350,0.03845162611782236,68333,1777116,0.10273503265067184,45278,440726,0.005632589826228109,7155,1270286,0.994488333639537,86608,87088,0.5186478045195664,45168,87088,0.5186478045195664,45168,87088,0.01601423487544484,576,35968,0.4350771633290465,37890,87088
secondary_only_pressure,2_4,2034,0.5449071751128951,0.5142045454545454,0.5291108404384897,1086,907,1026,0.5454545454545454,30,55,0.8887608069164266,1542,1735,0.047123623011015914,77,1634,0.22325581395348837,48,215,0.0014064697609001407,1,711,0.97984267453294,1993,2034,0.13274336283185842,270,2034,0.13274336283185842,270,2034,0.34545454545454546,19,55,0.028023598820058997,57,2034
