state,exposure_bucket,primary_or_secondary,factor_family,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
pre,high_gt100,primary,conflictWith,14841,0.9706219257462435,0.8482582036250926,0.9891330596474281,0.8530371398819854,0.9160578500074549,0.896462508239685,0.9965309604059952,0.11637636833501772
pre,high_gt100,primary,distinct,34216,0.2520166004208557,0.9846563011456628,0.9852588686481304,0.9533804940276006,0.9690575823657689,0.9897972566655384,0.9852606007875785,0.7375731765727174
pre,high_gt100,primary,inverse,10534,0.9501613821910005,0.9786405923675717,0.9793258867332941,0.9986012588670197,0.9888696512490724,0.9767155274538629,0.9982625410365523,0.0544735416941315
pre,high_gt100,primary,itemRequiresStatement,12020,0.9396838602329451,0.9396838602329451,0.9396838602329451,1.0,0.9689041389663308,0.8530387263207705,0.9844492508158329,0.045420462567476935
pre,high_gt100,primary,oneOf,1005,0.23482587064676616,0.23482587064676616,0.23482587064676616,1.0,0.38033843674456086,0.5099953714928037,0.21803550551638004,0.49294768684539036
pre,high_gt100,primary,single,17696,0.9997739602169982,0.9997739602169982,0.9997739602169982,1.0,0.9998869673335594,0.6067148993895546,0.9998744156437915,0.0006242380502750539
pre,high_gt100,primary,symmetric,4381,0.9420223693220726,0.9420223693220726,0.9420223693220726,1.0,0.9701457451810062,0.9295283222260169,0.9920357335331237,0.06860761827759695
pre,high_gt100,primary,type,10552,0.9736542835481425,0.974981046247157,0.9752183820736802,0.9997080007786646,0.9873113524944727,0.7729436462509961,0.9872957552508569,0.020076608915925935
pre,high_gt100,primary,valueRequiresStatement,9631,0.940504620496314,0.940504620496314,0.940504620496314,1.0,0.969340253625127,0.9697761218473001,0.9978919826098778,0.05152848542089368
pre,high_gt100,primary,valueType,7213,0.42146125051989464,0.8415361153472897,0.8440333696046427,0.7654605263157894,0.8028290495083663,0.8733373693039213,0.8925069154510967,0.4260914816740475
pre,high_gt100,secondary,conflictWith,1827755,0.7143358929396992,0.8960511665950852,0.9325559791189124,0.9210971553218329,0.926791149417448,0.96037541337999,0.9837693144840972,0.20053253985452815
pre,high_gt100,secondary,distinct,393401,1.0,0.998523135426702,1.0,0.998523135426702,0.9992610220281576,,,0.006021038680111795
pre,high_gt100,secondary,inverse,31782,0.12245925366559687,0.9708010823736706,0.9868593955321945,0.7718396711202467,0.8662053056516724,0.9866759995681169,0.9681841391188323,0.881600657603179
pre,high_gt100,secondary,itemRequiresStatement,682391,0.9944342759502983,0.9943199719808732,0.9944350889843487,0.9998835826482148,0.9971518931533744,0.7683675074843376,0.9979129432093566,0.007857757342634799
pre,high_gt100,secondary,oneOf,2287,0.9881941407958024,0.9881941407958024,0.9881941407958024,1.0,0.9940620189135694,0.7050311373320223,0.9924169782388353,0.13884697017265188
pre,high_gt100,secondary,single,1344886,0.9985589856686737,0.9985589856686737,0.9985589856686737,1.0,0.999278973329454,0.6028815482069632,0.9990408135564115,0.0003050863853184482
pre,high_gt100,secondary,symmetric,279,0.989247311827957,0.989247311827957,0.989247311827957,1.0,0.9945945945945946,0.8442028985507247,0.998183268527665,0.1638391579778391
pre,high_gt100,secondary,type,737214,0.9425105871565108,0.9559422365825934,0.960262001450931,0.9944058419877035,0.9770357120131224,0.9419170939945881,0.9948698224685458,0.021424689685310874
pre,high_gt100,secondary,valueRequiresStatement,10641,0.9834602011089183,0.9834602011089183,0.9834602011089183,1.0,0.991661139012603,0.836702156539113,0.993758369350956,0.027844345062122515
pre,high_gt100,secondary,valueType,458120,0.877765650921156,0.9592835938182136,0.9635646226266836,0.9910897687766399,0.9771333932387024,0.9668456980740211,0.9925112685395866,0.07800694190897291
pre,low_1_10,primary,conflictWith,9,1.0,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,,,0.11765050143003462
pre,low_1_10,primary,distinct,3,1.0,1.0,1.0,1.0,1.0,,,0.008473296960194943
pre,low_1_10,primary,inverse,3,1.0,1.0,1.0,1.0,1.0,,,0.0925406813621521
pre,low_1_10,primary,itemRequiresStatement,35,1.0,1.0,1.0,1.0,1.0,,,0.014338798182351287
pre,low_1_10,primary,oneOf,3,1.0,1.0,1.0,1.0,1.0,,,0.45780857404073083
pre,low_1_10,primary,single,19,1.0,1.0,1.0,1.0,1.0,,,0.002390368988639424
pre,low_1_10,primary,symmetric,6,1.0,1.0,1.0,1.0,1.0,,,0.2861245969931284
pre,low_1_10,primary,type,11,1.0,1.0,1.0,1.0,1.0,,,0.01724828915162516
pre,low_1_10,primary,valueType,1,1.0,1.0,1.0,1.0,1.0,,,0.007027864456176758
pre,low_1_10,secondary,conflictWith,30,0.7333333333333333,0.8,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363635,0.9541534037857566,0.13890963095861175
pre,low_1_10,secondary,distinct,347,1.0,1.0,1.0,1.0,1.0,,,0.0019330071441034935
pre,low_1_10,secondary,inverse,1,1.0,1.0,1.0,1.0,1.0,,,0.06551408767700195
pre,low_1_10,secondary,itemRequiresStatement,943,0.9904559915164369,0.9904559915164369,0.9904559915164369,1.0,0.9952051145444859,0.4731144420651915,0.9896912481939809,0.005119360959669014
pre,low_1_10,secondary,oneOf,3,1.0,1.0,1.0,1.0,1.0,,,0.39419251680374146
pre,low_1_10,secondary,single,521,1.0,1.0,1.0,1.0,1.0,,,0.0014063809746286404
pre,low_1_10,secondary,symmetric,1,1.0,1.0,1.0,1.0,1.0,,,0.25272542238235474
pre,low_1_10,secondary,type,365,0.9178082191780822,0.9178082191780822,0.9201101928374655,0.9970149253731343,0.9570200573065902,0.8300497512437811,0.973549783650373,0.04332990972963101
pre,low_1_10,secondary,valueRequiresStatement,5,1.0,1.0,1.0,1.0,1.0,,,0.04091156721115108
pre,low_1_10,secondary,valueType,82,0.9634146341463414,0.975609756097561,0.9753086419753086,1.0,0.9875,0.9746835443037974,0.9990505340035329,0.05100427931401784
pre,medium_11_100,primary,conflictWith,94,1.0,0.9361702127659575,1.0,0.9361702127659575,0.967032967032967,,,0.16644699919096967
pre,medium_11_100,primary,distinct,13,1.0,1.0,1.0,1.0,1.0,,,0.0220475059289199
pre,medium_11_100,primary,inverse,48,0.8541666666666666,0.9583333333333334,0.9534883720930233,1.0,0.9761904761904763,0.9930313588850175,0.9988243959094643,0.11011579198141891
pre,medium_11_100,primary,itemRequiresStatement,304,1.0,1.0,1.0,1.0,1.0,,,0.01548857183048605
pre,medium_11_100,primary,oneOf,20,0.45,0.45,0.45,1.0,0.6206896551724138,0.5353535353535354,0.6829511141688644,0.07272316813468932
pre,medium_11_100,primary,single,241,1.0,1.0,1.0,1.0,1.0,,,0.0014713406562805176
pre,medium_11_100,primary,symmetric,28,1.0,1.0,1.0,1.0,1.0,,,0.17252455226012642
pre,medium_11_100,primary,type,72,0.9305555555555556,0.9305555555555556,0.9305555555555556,1.0,0.9640287769784173,0.7253731343283583,0.9737778840618959,0.061497542593214306
pre,medium_11_100,primary,valueRequiresStatement,1,0.0,0.0,0.0,0.0,0.0,,,0.7327272295951843
pre,medium_11_100,primary,valueType,15,1.0,1.0,1.0,1.0,1.0,,,0.01251529455184941
pre,medium_11_100,secondary,conflictWith,739,0.7658998646820027,0.8470906630581867,0.9217877094972067,0.8745583038869258,0.8975521305530372,0.9039706693355665,0.9674974536435098,0.16034178381808759
pre,medium_11_100,secondary,distinct,3541,1.0,0.9988703756001129,1.0,0.9988703756001129,0.9994348686069511,,,0.0030402663828996528
pre,medium_11_100,secondary,inverse,16,1.0,0.75,1.0,0.75,0.8571428571428571,,,0.21532140974886715
pre,medium_11_100,secondary,itemRequiresStatement,9972,0.9960890493381468,0.9958884877657441,0.9960882647943832,0.9997986509614416,0.9979400090438627,0.520364648271625,0.9965304416015442,0.010702865382800644
pre,medium_11_100,secondary,oneOf,13,1.0,1.0,1.0,1.0,1.0,,,0.47709896472784186
pre,medium_11_100,secondary,single,5381,0.9988849656197732,0.9988849656197732,0.9988849656197732,1.0,0.9994421718110821,0.46765891472868215,0.9984807004424895,0.00014277233153201906
pre,medium_11_100,secondary,symmetric,2,1.0,1.0,1.0,1.0,1.0,,,0.35749340057373047
pre,medium_11_100,secondary,type,3815,0.927916120576671,0.9247706422018349,0.9292689363948271,0.9946327683615819,0.9608404966571155,0.804090395480226,0.9767722629714612,0.032332932207913986
